day;ppm
01/11/2018;-0,821
02/11/2018;
03/11/2018;
04/11/2018;-3,601
05/11/2018;-3,127
06/11/2018;-2,841
07/11/2018;-2,109
08/11/2018;-1,281
09/11/2018;-1,598
10/11/2018;-1,786
11/11/2018;-2,320
12/11/2018;-2,331
13/11/2018;-2,429
14/11/2018;-2,212
15/11/2018;-1,744
16/11/2018;-1,695
17/11/2018;-1,643
18/11/2018;-1,577
19/11/2018;-1,022
20/11/2018;
21/11/2018;
22/11/2018;-0,816
23/11/2018;-0,819
24/11/2018;-1,085
25/11/2018;-0,746
26/11/2018;-0,459
27/11/2018;
28/11/2018;
29/11/2018;
30/11/2018;-1,150
01/12/2018;-1,598
02/12/2018;
03/12/2018;1,351
04/12/2018;-0,145
05/12/2018;
06/12/2018;-0,239
07/12/2018;-0,423
08/12/2018;-0,509
09/12/2018;-0,414
10/12/2018;-2,001
11/12/2018;-3,258
12/12/2018;
13/12/2018;
14/12/2018;-4,139
15/12/2018;
16/12/2018;
17/12/2018;
18/12/2018;-5,143
19/12/2018;-4,640
20/12/2018;-3,807
21/12/2018;-3,098
22/12/2018;-2,473
23/12/2018;-1,978
24/12/2018;6,944
25/12/2018;17,665
26/12/2018;26,796
27/12/2018;34,703
28/12/2018;41,237
29/12/2018;46,648
30/12/2018;51,011
31/12/2018;53,756
01/01/2019;55,238
02/01/2019;57,010
03/01/2019;57,748
04/01/2019;
05/01/2019;
06/01/2019;
07/01/2019;
08/01/2019;
09/01/2019;
10/01/2019;
11/01/2019;
12/01/2019;
13/01/2019;
14/01/2019;
15/01/2019;
16/01/2019;59,189
17/01/2019;60,071
18/01/2019;60,803
19/01/2019;61,379
20/01/2019;61,520
21/01/2019;62,054
22/01/2019;62,807
23/01/2019;
24/01/2019;
25/01/2019;
26/01/2019;
27/01/2019;
28/01/2019;
29/01/2019;
30/01/2019;
31/01/2019;
01/02/2019;62,595
02/02/2019;62,311
03/02/2019;62,035
04/02/2019;61,273
05/02/2019;
06/02/2019;
07/02/2019;
08/02/2019;
09/02/2019;
10/02/2019;
11/02/2019;
12/02/2019;
13/02/2019;
14/02/2019;
15/02/2019;
16/02/2019;
17/02/2019;
18/02/2019;
19/02/2019;
20/02/2019;
21/02/2019;
22/02/2019;
23/02/2019;
24/02/2019;
25/02/2019;
26/02/2019;
27/02/2019;
28/02/2019;
01/03/2019;
02/03/2019;
03/03/2019;
04/03/2019;
05/03/2019;
06/03/2019;
07/03/2019;
08/03/2019;
09/03/2019;
10/03/2019;
11/03/2019;
12/03/2019;60,237
13/03/2019;58,981
14/03/2019;58,784
15/03/2019;
16/03/2019;
17/03/2019;
18/03/2019;
19/03/2019;
20/03/2019;
21/03/2019;
22/03/2019;
23/03/2019;
24/03/2019;
25/03/2019;
26/03/2019;
27/03/2019;
28/03/2019;
29/03/2019;
30/03/2019;
31/03/2019;
01/04/2019;
02/04/2019;
03/04/2019;
04/04/2019;
05/04/2019;
06/04/2019;
07/04/2019;
08/04/2019;
09/04/2019;
10/04/2019;
11/04/2019;59,197
12/04/2019;
13/04/2019;
14/04/2019;
15/04/2019;
16/04/2019;
17/04/2019;
18/04/2019;
19/04/2019;
20/04/2019;
21/04/2019;
22/04/2019;
23/04/2019;
24/04/2019;
25/04/2019;
26/04/2019;
27/04/2019;
28/04/2019;
29/04/2019;
30/04/2019;
01/05/2019;
02/05/2019;
03/05/2019;
04/05/2019;
05/05/2019;59,709
06/05/2019;60,078
07/05/2019;60,548
08/05/2019;70,290
09/05/2019;68,877
10/05/2019;
11/05/2019;
12/05/2019;
13/05/2019;80,743
14/05/2019;78,876
15/05/2019;
16/05/2019;
17/05/2019;80,628
18/05/2019;
19/05/2019;
20/05/2019;
21/05/2019;
22/05/2019;
23/05/2019;
24/05/2019;
25/05/2019;
26/05/2019;
27/05/2019;
28/05/2019;
29/05/2019;
30/05/2019;
31/05/2019;
01/06/2019;
02/06/2019;
03/06/2019;
04/06/2019;
05/06/2019;
06/06/2019;77,870
07/06/2019;75,000
08/06/2019;72,485
09/06/2019;69,913
10/06/2019;68,179
11/06/2019;66,495
12/06/2019;65,067
13/06/2019;64,054
14/06/2019;63,140
15/06/2019;62,970
16/06/2019;62,204
17/06/2019;61,576
18/06/2019;61,893
19/06/2019;
20/06/2019;61,922
21/06/2019;62,207
22/06/2019;62,423
23/06/2019;62,665
24/06/2019;63,372
25/06/2019;63,289
26/06/2019;
27/06/2019;
28/06/2019;
29/06/2019;
30/06/2019;
01/07/2019;
02/07/2019;
03/07/2019;
04/07/2019;
05/07/2019;
06/07/2019;
07/07/2019;
08/07/2019;
09/07/2019;
10/07/2019;
11/07/2019;
12/07/2019;63,612
13/07/2019;63,864
14/07/2019;64,099
15/07/2019;64,088
16/07/2019;64,257
17/07/2019;64,248
18/07/2019;64,415
19/07/2019;64,551
20/07/2019;64,696
21/07/2019;64,493
22/07/2019;64,381
23/07/2019;64,521
24/07/2019;64,326
25/07/2019;64,203
26/07/2019;64,118
27/07/2019;64,047
28/07/2019;64,096
29/07/2019;63,921
30/07/2019;64,086
31/07/2019;63,853
01/08/2019;63,862
02/08/2019;63,770
03/08/2019;64,067
04/08/2019;63,843
05/08/2019;63,642
06/08/2019;63,461
07/08/2019;63,466
08/08/2019;63,666
09/08/2019;63,695
10/08/2019;63,873
11/08/2019;63,984
12/08/2019;64,045
13/08/2019;64,403
14/08/2019;64,432
15/08/2019;64,472
16/08/2019;64,382
17/08/2019;64,331
18/08/2019;64,177
19/08/2019;64,205
20/08/2019;64,248
21/08/2019;64,215
22/08/2019;64,909
23/08/2019;65,034
24/08/2019;64,695
25/08/2019;64,708
26/08/2019;64,043
27/08/2019;63,807
28/08/2019;63,839
29/08/2019;63,723
30/08/2019;63,773
31/08/2019;63,818
01/09/2019;63,745
02/09/2019;63,738
03/09/2019;63,957
04/09/2019;64,396
05/09/2019;64,264
06/09/2019;64,516
07/09/2019;64,464
08/09/2019;64,885
09/09/2019;64,735
10/09/2019;
11/09/2019;64,965
12/09/2019;65,329
13/09/2019;65,536
14/09/2019;65,525
15/09/2019;65,560
16/09/2019;65,508
17/09/2019;65,597
18/09/2019;65,858
19/09/2019;66,270
20/09/2019;66,501
21/09/2019;66,726
22/09/2019;66,734
23/09/2019;66,914
24/09/2019;67,209
25/09/2019;67,530
26/09/2019;67,716
27/09/2019;67,585
28/09/2019;67,406
29/09/2019;66,702
30/09/2019;66,641
01/10/2019;66,897
02/10/2019;66,638
03/10/2019;67,266
04/10/2019;66,775
05/10/2019;67,096
06/10/2019;67,270
07/10/2019;67,467
08/10/2019;67,784
09/10/2019;67,876
10/10/2019;67,895
11/10/2019;67,895
12/10/2019;67,862
13/10/2019;67,960
14/10/2019;68,423
15/10/2019;68,459
16/10/2019;68,247
17/10/2019;68,215
18/10/2019;68,235
19/10/2019;68,062
20/10/2019;67,863
21/10/2019;67,882
22/10/2019;67,910
23/10/2019;68,131
24/10/2019;67,952
25/10/2019;67,878
26/10/2019;68,325
27/10/2019;68,119
28/10/2019;67,878
29/10/2019;67,597
30/10/2019;67,559
31/10/2019;67,792
01/11/2019;67,648
02/11/2019;67,559
03/11/2019;67,965
04/11/2019;68,471
05/11/2019;68,791
06/11/2019;69,049
07/11/2019;69,112
08/11/2019;69,183
09/11/2019;69,762
10/11/2019;69,179
11/11/2019;68,658
12/11/2019;69,149
13/11/2019;64,885
14/11/2019;63,026
15/11/2019;63,740
16/11/2019;64,071
17/11/2019;64,381
18/11/2019;65,086
19/11/2019;65,888
20/11/2019;66,521
21/11/2019;66,933
22/11/2019;67,450
23/11/2019;67,827
24/11/2019;67,650
25/11/2019;
26/11/2019;67,058
27/11/2019;67,587
28/11/2019;67,870
29/11/2019;68,397
30/11/2019;68,927
01/12/2019;69,270
02/12/2019;69,763
03/12/2019;69,860
04/12/2019;69,886
05/12/2019;69,621
06/12/2019;69,617
07/12/2019;69,679
08/12/2019;70,111
09/12/2019;70,038
10/12/2019;70,089
11/12/2019;69,244
12/12/2019;70,068
13/12/2019;71,093
14/12/2019;69,865
15/12/2019;69,486
16/12/2019;
17/12/2019;69,358
18/12/2019;69,871
19/12/2019;
20/12/2019;69,280
21/12/2019;69,128
22/12/2019;67,644
23/12/2019;
24/12/2019;
25/12/2019;66,140
26/12/2019;65,391
27/12/2019;65,269
28/12/2019;64,890
29/12/2019;64,655
30/12/2019;64,641
31/12/2019;64,675
01/01/2020;65,234
02/01/2020;65,800
03/01/2020;66,277
04/01/2020;66,681
05/01/2020;66,985
06/01/2020;67,407
07/01/2020;68,032
08/01/2020;68,515
09/01/2020;68,913
10/01/2020;69,391
11/01/2020;69,618
12/01/2020;69,825
13/01/2020;70,057
14/01/2020;70,228
15/01/2020;70,305
16/01/2020;70,343
17/01/2020;70,323
18/01/2020;70,317
19/01/2020;70,473
20/01/2020;70,385
21/01/2020;70,298
22/01/2020;70,273
23/01/2020;70,172
24/01/2020;70,124
25/01/2020;70,073
26/01/2020;70,219
