day;ppm
01/11/2018;
02/11/2018;
03/11/2018;
04/11/2018;
05/11/2018;
06/11/2018;
07/11/2018;
08/11/2018;
09/11/2018;
10/11/2018;
11/11/2018;
12/11/2018;
13/11/2018;
14/11/2018;
15/11/2018;
16/11/2018;
17/11/2018;
18/11/2018;
19/11/2018;
20/11/2018;
21/11/2018;7,898
22/11/2018;9,254
23/11/2018;8,132
24/11/2018;7,836
25/11/2018;4,380
26/11/2018;4,899
27/11/2018;5,715
28/11/2018;7,325
29/11/2018;7,664
30/11/2018;7,754
01/12/2018;7,932
02/12/2018;7,906
03/12/2018;7,936
04/12/2018;8,012
05/12/2018;8,044
06/12/2018;8,100
07/12/2018;8,075
08/12/2018;7,887
09/12/2018;7,864
10/12/2018;7,726
11/12/2018;7,639
12/12/2018;7,734
13/12/2018;7,857
14/12/2018;8,192
15/12/2018;8,168
16/12/2018;8,324
17/12/2018;8,623
18/12/2018;8,603
19/12/2018;8,558
20/12/2018;8,784
21/12/2018;8,678
22/12/2018;8,592
23/12/2018;8,493
24/12/2018;7,118
25/12/2018;5,690
26/12/2018;4,243
27/12/2018;2,980
28/12/2018;1,914
29/12/2018;1,042
30/12/2018;0,334
31/12/2018;-0,377
01/01/2019;-0,714
02/01/2019;-1,097
03/01/2019;-1,250
04/01/2019;-1,228
05/01/2019;-1,274
06/01/2019;-1,273
07/01/2019;
08/01/2019;-1,289
09/01/2019;-3,048
10/01/2019;-4,339
11/01/2019;-5,377
12/01/2019;-6,113
13/01/2019;
14/01/2019;-6,624
15/01/2019;-7,065
16/01/2019;-7,458
17/01/2019;-7,840
18/01/2019;-8,304
19/01/2019;-8,436
20/01/2019;-8,482
21/01/2019;-8,012
22/01/2019;-7,194
23/01/2019;-7,265
24/01/2019;-7,380
25/01/2019;-7,860
26/01/2019;
27/01/2019;
28/01/2019;-7,996
29/01/2019;-7,993
30/01/2019;-8,006
31/01/2019;-8,092
01/02/2019;-7,718
02/02/2019;-8,077
03/02/2019;-7,821
04/02/2019;-7,765
05/02/2019;-8,325
06/02/2019;-8,117
07/02/2019;-8,075
08/02/2019;-8,019
09/02/2019;-7,926
10/02/2019;-7,904
11/02/2019;-7,915
12/02/2019;-7,755
13/02/2019;-7,963
14/02/2019;-7,941
15/02/2019;-8,013
16/02/2019;-8,015
17/02/2019;-7,939
18/02/2019;-7,861
19/02/2019;-7,824
20/02/2019;-7,745
21/02/2019;-7,743
22/02/2019;-7,750
23/02/2019;-7,706
24/02/2019;-7,489
25/02/2019;-7,395
26/02/2019;-7,468
27/02/2019;-7,686
28/02/2019;-7,794
01/03/2019;-7,929
02/03/2019;-7,893
03/03/2019;-7,876
04/03/2019;-7,932
05/03/2019;-8,074
06/03/2019;-8,143
07/03/2019;-8,180
08/03/2019;-7,982
09/03/2019;-7,984
10/03/2019;-7,914
11/03/2019;-7,968
12/03/2019;-7,862
13/03/2019;-8,019
14/03/2019;-7,874
15/03/2019;-7,759
16/03/2019;-7,744
17/03/2019;-7,715
18/03/2019;-7,693
19/03/2019;-7,192
20/03/2019;-7,229
21/03/2019;-7,801
22/03/2019;-8,063
23/03/2019;-8,030
24/03/2019;-8,021
25/03/2019;-7,949
26/03/2019;-8,078
27/03/2019;-8,224
28/03/2019;-8,200
29/03/2019;-8,369
30/03/2019;-8,320
31/03/2019;-8,295
01/04/2019;-8,302
02/04/2019;-8,316
03/04/2019;-8,005
04/04/2019;
05/04/2019;-7,965
06/04/2019;-8,076
07/04/2019;-7,872
08/04/2019;-7,983
09/04/2019;-8,033
10/04/2019;-8,261
11/04/2019;-8,602
12/04/2019;-8,276
13/04/2019;-8,137
14/04/2019;-8,228
15/04/2019;
16/04/2019;-8,177
17/04/2019;-8,163
18/04/2019;-8,101
19/04/2019;-8,053
20/04/2019;-8,085
21/04/2019;-8,126
22/04/2019;-9,279
23/04/2019;-9,289
24/04/2019;-9,180
25/04/2019;-9,155
26/04/2019;-8,749
27/04/2019;-8,788
28/04/2019;-8,673
29/04/2019;-8,843
30/04/2019;-8,699
01/05/2019;-8,732
02/05/2019;-8,696
03/05/2019;-8,737
04/05/2019;-8,705
05/05/2019;-8,636
06/05/2019;-8,617
07/05/2019;-8,589
08/05/2019;-8,557
09/05/2019;-8,713
10/05/2019;-8,598
11/05/2019;-8,387
12/05/2019;-8,709
13/05/2019;-8,736
14/05/2019;-8,827
15/05/2019;-8,671
16/05/2019;-8,458
17/05/2019;-8,535
18/05/2019;-8,931
19/05/2019;-10,188
20/05/2019;-10,532
21/05/2019;-10,117
22/05/2019;-9,619
23/05/2019;-9,417
24/05/2019;-9,003
25/05/2019;-8,769
26/05/2019;-9,584
27/05/2019;-8,767
28/05/2019;-8,634
29/05/2019;
30/05/2019;-8,909
31/05/2019;-8,833
01/06/2019;-8,687
02/06/2019;-8,444
03/06/2019;-8,524
04/06/2019;-8,254
05/06/2019;-8,182
06/06/2019;-8,196
07/06/2019;-8,412
08/06/2019;-8,443
09/06/2019;-8,498
10/06/2019;-8,736
11/06/2019;-8,626
12/06/2019;-8,428
13/06/2019;-8,407
14/06/2019;-8,463
15/06/2019;-8,350
16/06/2019;-8,519
17/06/2019;-8,159
18/06/2019;-8,213
19/06/2019;-8,377
