day;ppm
01/11/2018;-2,599
02/11/2018;-2,797
03/11/2018;-2,670
04/11/2018;-2,450
05/11/2018;-1,858
06/11/2018;-1,462
07/11/2018;-1,326
08/11/2018;-1,191
09/11/2018;-1,139
10/11/2018;-1,022
11/11/2018;-0,996
12/11/2018;-1,033
13/11/2018;-1,021
14/11/2018;-0,984
15/11/2018;-0,939
16/11/2018;-0,932
17/11/2018;-0,840
18/11/2018;-0,768
19/11/2018;-0,647
20/11/2018;-0,473
21/11/2018;-0,490
22/11/2018;-0,515
23/11/2018;-0,548
24/11/2018;-0,618
25/11/2018;-0,669
26/11/2018;-0,611
27/11/2018;-0,381
28/11/2018;0,572
29/11/2018;0,422
30/11/2018;0,258
01/12/2018;0,232
02/12/2018;0,137
03/12/2018;0,098
04/12/2018;-0,015
05/12/2018;-0,055
06/12/2018;-0,140
07/12/2018;-0,104
08/12/2018;-0,230
09/12/2018;-0,319
10/12/2018;-0,377
11/12/2018;-0,302
12/12/2018;-0,148
13/12/2018;-0,067
14/12/2018;-0,059
15/12/2018;-0,041
16/12/2018;-0,018
17/12/2018;0,095
18/12/2018;-0,554
19/12/2018;-0,508
20/12/2018;-0,449
21/12/2018;-0,360
22/12/2018;-0,339
23/12/2018;-0,315
24/12/2018;0,289
25/12/2018;1,510
26/12/2018;2,621
27/12/2018;3,706
28/12/2018;4,606
29/12/2018;5,327
30/12/2018;5,890
31/12/2018;6,178
01/01/2019;6,835
02/01/2019;7,276
03/01/2019;7,534
04/01/2019;7,620
05/01/2019;7,626
06/01/2019;7,616
07/01/2019;7,728
08/01/2019;7,761
09/01/2019;7,889
10/01/2019;8,016
11/01/2019;8,868
12/01/2019;8,771
13/01/2019;8,746
14/01/2019;8,735
15/01/2019;8,589
16/01/2019;8,575
17/01/2019;8,694
18/01/2019;8,756
19/01/2019;8,806
20/01/2019;8,864
21/01/2019;8,956
22/01/2019;9,545
23/01/2019;9,599
24/01/2019;9,589
25/01/2019;9,566
26/01/2019;9,618
27/01/2019;9,730
28/01/2019;9,842
29/01/2019;9,939
30/01/2019;10,043
31/01/2019;10,242
01/02/2019;10,266
02/02/2019;10,300
03/02/2019;10,379
04/02/2019;10,492
05/02/2019;10,105
06/02/2019;10,189
07/02/2019;10,313
08/02/2019;10,442
09/02/2019;10,475
10/02/2019;10,610
11/02/2019;10,730
12/02/2019;10,794
13/02/2019;10,580
14/02/2019;10,710
15/02/2019;10,808
16/02/2019;10,876
17/02/2019;11,051
18/02/2019;11,175
19/02/2019;11,290
20/02/2019;11,435
21/02/2019;11,559
22/02/2019;11,594
23/02/2019;11,522
24/02/2019;11,277
25/02/2019;11,513
26/02/2019;11,628
27/02/2019;11,630
28/02/2019;11,675
01/03/2019;11,760
02/03/2019;11,750
03/03/2019;11,787
04/03/2019;11,790
05/03/2019;11,849
06/03/2019;11,863
07/03/2019;11,903
08/03/2019;11,972
09/03/2019;12,009
10/03/2019;12,097
11/03/2019;12,169
12/03/2019;12,127
13/03/2019;12,178
14/03/2019;12,571
15/03/2019;12,636
16/03/2019;12,604
17/03/2019;12,566
18/03/2019;12,523
19/03/2019;12,340
20/03/2019;12,325
21/03/2019;11,412
22/03/2019;11,613
23/03/2019;11,834
24/03/2019;11,946
25/03/2019;12,099
26/03/2019;12,256
27/03/2019;12,379
28/03/2019;12,489
29/03/2019;12,527
30/03/2019;12,555
31/03/2019;12,630
01/04/2019;12,700
02/04/2019;12,777
03/04/2019;12,873
04/04/2019;
05/04/2019;13,005
06/04/2019;13,113
07/04/2019;13,061
08/04/2019;13,042
09/04/2019;13,130
10/04/2019;13,297
11/04/2019;13,352
12/04/2019;13,328
13/04/2019;13,333
14/04/2019;13,366
15/04/2019;
16/04/2019;13,392
17/04/2019;13,368
18/04/2019;13,394
19/04/2019;13,430
20/04/2019;13,449
21/04/2019;13,413
22/04/2019;13,306
23/04/2019;13,350
24/04/2019;13,399
25/04/2019;13,491
26/04/2019;13,542
27/04/2019;13,648
28/04/2019;13,737
29/04/2019;13,874
30/04/2019;13,948
01/05/2019;13,988
02/05/2019;13,994
03/05/2019;14,066
04/05/2019;14,155
05/05/2019;14,263
06/05/2019;14,294
07/05/2019;14,283
08/05/2019;14,236
09/05/2019;14,295
10/05/2019;14,383
11/05/2019;14,429
12/05/2019;14,601
13/05/2019;14,621
14/05/2019;14,704
15/05/2019;14,792
16/05/2019;14,823
17/05/2019;14,907
18/05/2019;14,865
19/05/2019;15,050
20/05/2019;15,091
21/05/2019;15,066
22/05/2019;15,050
23/05/2019;15,060
24/05/2019;15,050
25/05/2019;14,894
26/05/2019;14,599
27/05/2019;14,307
28/05/2019;14,427
29/05/2019;
30/05/2019;14,308
31/05/2019;13,973
01/06/2019;13,819
02/06/2019;13,555
03/06/2019;13,283
04/06/2019;13,151
05/06/2019;13,150
06/06/2019;13,143
07/06/2019;13,101
08/06/2019;13,109
09/06/2019;12,999
10/06/2019;13,007
11/06/2019;13,111
12/06/2019;13,087
13/06/2019;13,294
14/06/2019;13,277
15/06/2019;13,439
16/06/2019;13,569
17/06/2019;13,754
18/06/2019;13,947
19/06/2019;14,028
20/06/2019;14,211
21/06/2019;14,328
22/06/2019;14,413
23/06/2019;14,501
24/06/2019;14,667
25/06/2019;14,565
26/06/2019;14,652
27/06/2019;14,700
28/06/2019;14,868
29/06/2019;15,056
30/06/2019;15,096
01/07/2019;15,090
02/07/2019;15,202
03/07/2019;15,379
04/07/2019;15,639
05/07/2019;15,617
06/07/2019;15,487
07/07/2019;15,399
08/07/2019;15,439
09/07/2019;15,431
10/07/2019;15,607
11/07/2019;15,654
12/07/2019;15,682
13/07/2019;15,688
14/07/2019;15,736
15/07/2019;15,751
16/07/2019;15,363
17/07/2019;15,353
18/07/2019;15,445
19/07/2019;15,509
20/07/2019;15,339
21/07/2019;15,302
22/07/2019;15,273
23/07/2019;15,208
24/07/2019;15,221
25/07/2019;15,217
26/07/2019;15,199
27/07/2019;15,084
28/07/2019;14,953
29/07/2019;14,826
30/07/2019;14,679
31/07/2019;14,528
01/08/2019;14,451
02/08/2019;14,451
03/08/2019;14,452
04/08/2019;14,424
05/08/2019;14,415
06/08/2019;14,508
07/08/2019;14,612
08/08/2019;14,782
09/08/2019;14,814
10/08/2019;14,926
11/08/2019;14,942
12/08/2019;15,048
13/08/2019;15,124
14/08/2019;15,052
15/08/2019;15,070
16/08/2019;15,079
17/08/2019;15,083
18/08/2019;15,199
19/08/2019;15,211
20/08/2019;15,335
21/08/2019;15,441
22/08/2019;15,621
23/08/2019;15,488
24/08/2019;15,549
25/08/2019;15,578
26/08/2019;15,837
27/08/2019;15,796
28/08/2019;15,891
29/08/2019;15,860
30/08/2019;15,985
31/08/2019;16,027
01/09/2019;16,032
02/09/2019;16,081
03/09/2019;16,022
04/09/2019;16,005
05/09/2019;15,990
06/09/2019;16,076
07/09/2019;16,123
08/09/2019;16,118
09/09/2019;16,136
10/09/2019;
11/09/2019;16,164
12/09/2019;16,146
13/09/2019;16,069
14/09/2019;16,082
15/09/2019;16,251
16/09/2019;16,252
17/09/2019;16,283
18/09/2019;16,271
19/09/2019;16,365
20/09/2019;16,504
21/09/2019;16,508
22/09/2019;16,558
