day;ppm
01/11/2018;-3,538
02/11/2018;-3,233
03/11/2018;-5,344
04/11/2018;-3,613
05/11/2018;-1,829
06/11/2018;-1,016
07/11/2018;-0,558
08/11/2018;0,003
09/11/2018;0,147
10/11/2018;0,310
11/11/2018;0,285
12/11/2018;0,275
13/11/2018;0,278
14/11/2018;0,208
15/11/2018;0,158
16/11/2018;0,100
17/11/2018;0,038
18/11/2018;0,032
19/11/2018;0,005
20/11/2018;
21/11/2018;
22/11/2018;-0,112
23/11/2018;-0,202
24/11/2018;-0,321
25/11/2018;-0,538
26/11/2018;-0,644
27/11/2018;
28/11/2018;
29/11/2018;
30/11/2018;-0,623
01/12/2018;-0,498
02/12/2018;-0,404
03/12/2018;0,748
04/12/2018;0,675
05/12/2018;0,613
06/12/2018;0,615
07/12/2018;0,575
08/12/2018;0,358
09/12/2018;0,267
10/12/2018;0,086
11/12/2018;-0,183
12/12/2018;-0,136
13/12/2018;-0,124
14/12/2018;-0,148
15/12/2018;-0,170
16/12/2018;-0,181
17/12/2018;
18/12/2018;-0,602
19/12/2018;-0,447
20/12/2018;-0,380
21/12/2018;-0,251
22/12/2018;-0,024
23/12/2018;0,048
24/12/2018;-0,135
25/12/2018;-0,704
26/12/2018;-1,323
27/12/2018;-1,841
28/12/2018;-2,285
29/12/2018;-2,624
30/12/2018;-2,933
31/12/2018;-3,270
01/01/2019;-3,092
02/01/2019;-3,079
03/01/2019;-3,165
04/01/2019;
05/01/2019;-3,449
06/01/2019;-3,411
07/01/2019;-3,399
08/01/2019;-3,331
09/01/2019;-3,095
10/01/2019;-3,130
11/01/2019;-2,553
12/01/2019;-2,653
13/01/2019;-2,686
14/01/2019;-2,817
15/01/2019;-2,822
16/01/2019;-2,742
17/01/2019;-2,579
18/01/2019;-2,532
19/01/2019;-2,417
20/01/2019;-2,331
21/01/2019;-2,457
22/01/2019;-2,501
23/01/2019;
24/01/2019;
25/01/2019;
26/01/2019;
27/01/2019;-2,362
28/01/2019;-2,380
29/01/2019;-2,298
30/01/2019;-2,197
31/01/2019;-2,202
01/02/2019;-2,299
02/02/2019;-2,210
03/02/2019;-1,999
04/02/2019;-1,990
05/02/2019;
06/02/2019;
07/02/2019;
08/02/2019;
09/02/2019;
10/02/2019;
11/02/2019;
12/02/2019;
13/02/2019;
14/02/2019;
15/02/2019;
16/02/2019;
17/02/2019;
18/02/2019;
19/02/2019;
20/02/2019;
21/02/2019;
22/02/2019;
23/02/2019;
24/02/2019;
25/02/2019;
26/02/2019;
27/02/2019;
28/02/2019;
01/03/2019;
02/03/2019;
03/03/2019;
04/03/2019;
05/03/2019;
06/03/2019;
07/03/2019;
08/03/2019;
09/03/2019;
10/03/2019;
11/03/2019;
12/03/2019;-1,745
13/03/2019;-1,351
14/03/2019;-0,712
15/03/2019;
16/03/2019;
17/03/2019;
18/03/2019;
19/03/2019;
20/03/2019;
21/03/2019;
22/03/2019;
23/03/2019;
24/03/2019;
25/03/2019;
26/03/2019;
27/03/2019;
28/03/2019;
29/03/2019;
30/03/2019;
31/03/2019;
01/04/2019;
02/04/2019;
03/04/2019;
04/04/2019;
05/04/2019;
06/04/2019;
07/04/2019;
08/04/2019;
09/04/2019;
10/04/2019;
11/04/2019;-0,646
12/04/2019;
13/04/2019;
14/04/2019;
15/04/2019;
16/04/2019;
17/04/2019;
18/04/2019;
19/04/2019;
20/04/2019;
21/04/2019;
22/04/2019;
23/04/2019;
24/04/2019;
25/04/2019;
26/04/2019;
27/04/2019;
28/04/2019;
29/04/2019;
30/04/2019;
01/05/2019;
02/05/2019;
03/05/2019;
04/05/2019;
05/05/2019;-0,410
06/05/2019;-0,492
07/05/2019;-0,375
08/05/2019;-0,619
09/05/2019;-0,329
10/05/2019;
11/05/2019;
12/05/2019;
13/05/2019;1,174
14/05/2019;1,327
15/05/2019;
16/05/2019;
17/05/2019;1,054
18/05/2019;
19/05/2019;
20/05/2019;
21/05/2019;
22/05/2019;
23/05/2019;
24/05/2019;
25/05/2019;
26/05/2019;
27/05/2019;
28/05/2019;
29/05/2019;
30/05/2019;
31/05/2019;
01/06/2019;
02/06/2019;
03/06/2019;
04/06/2019;
05/06/2019;
06/06/2019;0,964
07/06/2019;0,927
08/06/2019;0,836
09/06/2019;0,785
10/06/2019;0,602
11/06/2019;0,466
12/06/2019;0,059
13/06/2019;0,036
14/06/2019;0,020
15/06/2019;0,037
16/06/2019;0,037
17/06/2019;-0,061
18/06/2019;-0,105
19/06/2019;
20/06/2019;-0,023
21/06/2019;0,017
22/06/2019;0,073
23/06/2019;-0,081
24/06/2019;0,041
25/06/2019;0,054
26/06/2019;
27/06/2019;
28/06/2019;
29/06/2019;
30/06/2019;
01/07/2019;
02/07/2019;
03/07/2019;
04/07/2019;
05/07/2019;
06/07/2019;
07/07/2019;
08/07/2019;
09/07/2019;
10/07/2019;
11/07/2019;
12/07/2019;0,174
13/07/2019;0,163
14/07/2019;0,213
15/07/2019;0,377
16/07/2019;
17/07/2019;
18/07/2019;
19/07/2019;0,524
20/07/2019;0,491
21/07/2019;0,438
22/07/2019;0,454
23/07/2019;0,524
24/07/2019;0,533
25/07/2019;0,607
26/07/2019;0,672
27/07/2019;0,492
28/07/2019;0,342
29/07/2019;0,275
30/07/2019;0,211
31/07/2019;0,349
01/08/2019;0,392
02/08/2019;0,412
03/08/2019;0,437
04/08/2019;0,402
05/08/2019;0,434
06/08/2019;0,403
07/08/2019;0,386
08/08/2019;0,436
09/08/2019;0,475
10/08/2019;0,451
11/08/2019;0,398
12/08/2019;0,419
13/08/2019;0,483
14/08/2019;0,560
15/08/2019;0,623
16/08/2019;0,606
17/08/2019;0,538
18/08/2019;0,541
19/08/2019;0,481
20/08/2019;0,479
21/08/2019;0,534
22/08/2019;0,578
23/08/2019;0,496
24/08/2019;0,405
25/08/2019;0,480
26/08/2019;0,603
27/08/2019;0,627
28/08/2019;0,686
29/08/2019;0,608
30/08/2019;0,664
31/08/2019;0,835
01/09/2019;0,741
02/09/2019;0,780
03/09/2019;0,678
04/09/2019;0,604
05/09/2019;0,501
06/09/2019;0,540
07/09/2019;0,550
08/09/2019;0,582
09/09/2019;0,564
10/09/2019;
11/09/2019;0,579
12/09/2019;0,622
13/09/2019;0,734
14/09/2019;0,767
15/09/2019;0,837
16/09/2019;0,877
17/09/2019;0,906
18/09/2019;0,998
19/09/2019;0,973
20/09/2019;1,038
21/09/2019;0,986
22/09/2019;0,883
23/09/2019;0,844
24/09/2019;1,014
25/09/2019;1,086
26/09/2019;1,041
27/09/2019;1,109
28/09/2019;1,133
29/09/2019;1,117
30/09/2019;1,136
01/10/2019;1,098
02/10/2019;1,176
03/10/2019;1,243
04/10/2019;1,242
05/10/2019;1,270
06/10/2019;1,254
07/10/2019;1,150
08/10/2019;0,933
09/10/2019;1,108
