day;ppm
01/11/2018;-5,561
02/11/2018;
03/11/2018;
04/11/2018;-3,185
05/11/2018;-1,918
06/11/2018;-0,549
07/11/2018;-1,185
08/11/2018;-0,959
09/11/2018;-0,864
10/11/2018;-0,913
11/11/2018;-0,708
12/11/2018;-0,423
13/11/2018;-0,386
14/11/2018;-0,454
15/11/2018;-0,605
16/11/2018;-0,552
17/11/2018;-0,565
18/11/2018;-0,923
19/11/2018;-0,270
20/11/2018;-0,368
21/11/2018;-0,175
22/11/2018;-0,110
23/11/2018;-0,231
24/11/2018;-0,386
25/11/2018;-0,576
26/11/2018;-0,764
27/11/2018;-0,329
28/11/2018;-0,939
29/11/2018;-0,989
30/11/2018;-1,078
01/12/2018;
02/12/2018;-0,641
03/12/2018;-0,023
04/12/2018;0,699
05/12/2018;0,937
06/12/2018;0,876
07/12/2018;1,942
08/12/2018;2,026
09/12/2018;1,641
10/12/2018;1,242
11/12/2018;1,340
12/12/2018;1,617
13/12/2018;1,316
14/12/2018;
15/12/2018;
16/12/2018;1,402
17/12/2018;2,153
18/12/2018;2,217
19/12/2018;1,830
20/12/2018;0,543
21/12/2018;-0,160
22/12/2018;-0,392
23/12/2018;-0,429
24/12/2018;-8,258
25/12/2018;-19,973
26/12/2018;-30,052
27/12/2018;-38,747
28/12/2018;-45,811
29/12/2018;-51,588
30/12/2018;-56,003
31/12/2018;-59,262
01/01/2019;-61,901
02/01/2019;-63,479
03/01/2019;-63,922
04/01/2019;-64,459
05/01/2019;
06/01/2019;
07/01/2019;
08/01/2019;
09/01/2019;
10/01/2019;
11/01/2019;
12/01/2019;
13/01/2019;
14/01/2019;
15/01/2019;
16/01/2019;-62,324
17/01/2019;-60,187
18/01/2019;-57,445
19/01/2019;-55,516
20/01/2019;-53,603
21/01/2019;-52,380
22/01/2019;-50,040
23/01/2019;-48,793
24/01/2019;-48,004
25/01/2019;-45,660
26/01/2019;
27/01/2019;
28/01/2019;-45,414
29/01/2019;-44,285
30/01/2019;-43,264
31/01/2019;-42,269
01/02/2019;-41,844
02/02/2019;-41,909
03/02/2019;-41,595
04/02/2019;-41,563
05/02/2019;-41,858
06/02/2019;-42,259
07/02/2019;-42,553
08/02/2019;-42,707
09/02/2019;-42,439
10/02/2019;-42,100
11/02/2019;-41,244
12/02/2019;-40,702
13/02/2019;-40,677
14/02/2019;-40,493
15/02/2019;-40,441
16/02/2019;-40,306
17/02/2019;-40,249
18/02/2019;-40,165
19/02/2019;-40,134
20/02/2019;-40,202
21/02/2019;-40,236
22/02/2019;-40,167
23/02/2019;-39,837
24/02/2019;-39,269
25/02/2019;-39,298
26/02/2019;-39,400
27/02/2019;-39,402
28/02/2019;-39,352
01/03/2019;-39,476
02/03/2019;-39,072
03/03/2019;-38,975
04/03/2019;-38,884
05/03/2019;-38,777
06/03/2019;-38,541
07/03/2019;-38,227
08/03/2019;-38,188
09/03/2019;-38,433
10/03/2019;-38,856
11/03/2019;-38,828
12/03/2019;-38,614
13/03/2019;-38,412
14/03/2019;-37,968
15/03/2019;-37,465
16/03/2019;-37,430
17/03/2019;-37,992
18/03/2019;-37,955
19/03/2019;-38,702
20/03/2019;-38,867
21/03/2019;-39,014
22/03/2019;-39,240
23/03/2019;-39,382
24/03/2019;-39,310
25/03/2019;-39,143
26/03/2019;-38,921
27/03/2019;-38,405
28/03/2019;-37,649
29/03/2019;-37,173
30/03/2019;-36,775
31/03/2019;-36,584
01/04/2019;-36,447
02/04/2019;-36,310
03/04/2019;-36,640
04/04/2019;
05/04/2019;-36,341
06/04/2019;-35,907
07/04/2019;-36,514
08/04/2019;-36,210
09/04/2019;-35,899
10/04/2019;-35,354
11/04/2019;-35,773
12/04/2019;-36,606
13/04/2019;-37,026
14/04/2019;-37,005
15/04/2019;
16/04/2019;-36,946
17/04/2019;-36,830
18/04/2019;-36,607
19/04/2019;-36,354
20/04/2019;-36,141
21/04/2019;-36,195
22/04/2019;-36,656
23/04/2019;-36,448
24/04/2019;-36,472
25/04/2019;-36,155
26/04/2019;-35,983
27/04/2019;-35,886
28/04/2019;-35,842
29/04/2019;-35,585
30/04/2019;-35,420
01/05/2019;-35,187
02/05/2019;-34,962
03/05/2019;-35,949
04/05/2019;-36,510
05/05/2019;-35,632
06/05/2019;-34,704
07/05/2019;-34,382
08/05/2019;-34,285
09/05/2019;-34,546
10/05/2019;-34,772
11/05/2019;-34,747
12/05/2019;-33,869
13/05/2019;-33,680
14/05/2019;-33,531
15/05/2019;-33,921
16/05/2019;-32,999
17/05/2019;-33,026
18/05/2019;-33,337
19/05/2019;-32,445
20/05/2019;-31,700
21/05/2019;-31,952
22/05/2019;-32,970
23/05/2019;-33,008
24/05/2019;-33,273
25/05/2019;-33,885
26/05/2019;-34,572
27/05/2019;-36,359
28/05/2019;-36,648
29/05/2019;
30/05/2019;-36,113
31/05/2019;-35,568
01/06/2019;-35,618
02/06/2019;-35,235
03/06/2019;-34,860
04/06/2019;-34,523
05/06/2019;-34,253
06/06/2019;-34,200
07/06/2019;-34,097
08/06/2019;-33,689
09/06/2019;-33,473
10/06/2019;-33,150
11/06/2019;-33,205
12/06/2019;-34,062
13/06/2019;-34,060
14/06/2019;-33,689
15/06/2019;-33,142
16/06/2019;-32,972
17/06/2019;-33,107
18/06/2019;-33,482
19/06/2019;-33,153
20/06/2019;-32,960
21/06/2019;-32,748
22/06/2019;-32,952
23/06/2019;-33,248
24/06/2019;-33,046
25/06/2019;-33,009
26/06/2019;-32,755
27/06/2019;-32,314
28/06/2019;-32,077
29/06/2019;-32,009
30/06/2019;-31,978
01/07/2019;-31,809
02/07/2019;-31,693
03/07/2019;-31,458
04/07/2019;-31,419
05/07/2019;-31,584
06/07/2019;-31,534
07/07/2019;-31,365
08/07/2019;-31,357
09/07/2019;-31,449
10/07/2019;-31,416
11/07/2019;-31,310
12/07/2019;-31,599
13/07/2019;-31,353
14/07/2019;-31,356
15/07/2019;-31,262
16/07/2019;-31,258
17/07/2019;-31,101
18/07/2019;-31,242
19/07/2019;-31,205
20/07/2019;-31,229
21/07/2019;-31,309
22/07/2019;-31,298
23/07/2019;-30,756
24/07/2019;-30,836
25/07/2019;-30,812
26/07/2019;-30,590
27/07/2019;-30,775
28/07/2019;-30,924
29/07/2019;-31,306
30/07/2019;-31,362
31/07/2019;-30,887
01/08/2019;-30,718
02/08/2019;-30,855
03/08/2019;-30,658
04/08/2019;-30,947
05/08/2019;-30,916
06/08/2019;-31,065
07/08/2019;-30,714
08/08/2019;-30,966
09/08/2019;-30,906
10/08/2019;-30,992
11/08/2019;-31,043
12/08/2019;-30,839
13/08/2019;-30,872
14/08/2019;-31,090
15/08/2019;-30,813
16/08/2019;-30,827
17/08/2019;-30,898
18/08/2019;-30,725
19/08/2019;-30,714
20/08/2019;-30,376
21/08/2019;-30,500
22/08/2019;-30,334
23/08/2019;-30,113
24/08/2019;-30,775
25/08/2019;-30,815
26/08/2019;-30,444
27/08/2019;-30,593
28/08/2019;-30,357
29/08/2019;-30,279
30/08/2019;-30,060
31/08/2019;-29,862
01/09/2019;-29,157
02/09/2019;-29,175
03/09/2019;-29,179
04/09/2019;-28,916
05/09/2019;-29,072
06/09/2019;-29,080
07/09/2019;-28,950
08/09/2019;-29,739
09/09/2019;-29,654
10/09/2019;
11/09/2019;-29,565
12/09/2019;-29,373
13/09/2019;-28,847
14/09/2019;-28,677
15/09/2019;-28,416
16/09/2019;-28,331
17/09/2019;-28,350
18/09/2019;-28,209
19/09/2019;-28,203
20/09/2019;-28,237
21/09/2019;-28,164
22/09/2019;-28,227
23/09/2019;-28,463
24/09/2019;-28,570
25/09/2019;-28,522
26/09/2019;-28,486
27/09/2019;-28,259
28/09/2019;-28,148
29/09/2019;-28,385
30/09/2019;-28,239
01/10/2019;-28,198
02/10/2019;-28,225
03/10/2019;-29,181
04/10/2019;-28,435
05/10/2019;-28,174
06/10/2019;-28,217
07/10/2019;-28,079
08/10/2019;-28,060
09/10/2019;-27,951
10/10/2019;-27,549
11/10/2019;-27,220
12/10/2019;-26,835
13/10/2019;-26,542
14/10/2019;-26,344
15/10/2019;-26,144
16/10/2019;-25,817
17/10/2019;-25,879
18/10/2019;-25,804
19/10/2019;-25,878
20/10/2019;-25,898
21/10/2019;-25,902
22/10/2019;-25,853
23/10/2019;-25,918
24/10/2019;-26,115
25/10/2019;-26,399
26/10/2019;-26,305
27/10/2019;-25,932
28/10/2019;-25,557
29/10/2019;-25,521
30/10/2019;-25,624
31/10/2019;-25,680
01/11/2019;-25,548
02/11/2019;-25,380
03/11/2019;-27,006
04/11/2019;-26,493
05/11/2019;-27,136
06/11/2019;-27,791
07/11/2019;-27,526
08/11/2019;-27,492
09/11/2019;-27,606
10/11/2019;-26,849
11/11/2019;-26,571
12/11/2019;-26,827
13/11/2019;-26,627
14/11/2019;-25,890
15/11/2019;
16/11/2019;-26,487
17/11/2019;-26,615
18/11/2019;-26,225
19/11/2019;-26,417
20/11/2019;-26,247
21/11/2019;-26,216
22/11/2019;-26,128
23/11/2019;-25,672
24/11/2019;-26,362
25/11/2019;-26,076
26/11/2019;-25,508
27/11/2019;-25,031
28/11/2019;-24,146
29/11/2019;-23,939
30/11/2019;-23,838
01/12/2019;-23,787
02/12/2019;-24,170
03/12/2019;-24,228
04/12/2019;-24,463
05/12/2019;-24,411
06/12/2019;-24,244
07/12/2019;-24,230
08/12/2019;-24,660
09/12/2019;-24,571
10/12/2019;-24,612
11/12/2019;-24,569
12/12/2019;-22,693
13/12/2019;-21,678
14/12/2019;-21,977
15/12/2019;-22,315
16/12/2019;
17/12/2019;-22,872
18/12/2019;-23,330
19/12/2019;
20/12/2019;-23,505
21/12/2019;-23,837
22/12/2019;-23,061
23/12/2019;-23,489
24/12/2019;-24,014
25/12/2019;
26/12/2019;
27/12/2019;-23,707
28/12/2019;-23,373
29/12/2019;-23,295
30/12/2019;-23,312
31/12/2019;
01/01/2020;-23,191
02/01/2020;-22,953
03/01/2020;-22,766
04/01/2020;-22,774
05/01/2020;-22,533
06/01/2020;-22,605
07/01/2020;-22,725
08/01/2020;-22,767
09/01/2020;-22,857
10/01/2020;-22,918
11/01/2020;-22,951
12/01/2020;-22,946
13/01/2020;-22,750
14/01/2020;
15/01/2020;-22,624
16/01/2020;-22,499
17/01/2020;-22,279
18/01/2020;-22,034
19/01/2020;-21,922
20/01/2020;-21,299
21/01/2020;-21,621
22/01/2020;-21,727
23/01/2020;-21,864
24/01/2020;-22,504
25/01/2020;-21,907
26/01/2020;-22,141
27/01/2020;-22,011
28/01/2020;-21,859
29/01/2020;-21,763
30/01/2020;-21,876
31/01/2020;-21,967
01/02/2020;-22,358
02/02/2020;-22,300
03/02/2020;-22,186
04/02/2020;-21,773
05/02/2020;-21,526
06/02/2020;-21,409
07/02/2020;-21,309
08/02/2020;-21,466
09/02/2020;-22,127
10/02/2020;-22,410
11/02/2020;-22,941
12/02/2020;-23,158
13/02/2020;-23,677
14/02/2020;-23,703
15/02/2020;-23,987
16/02/2020;-24,198
17/02/2020;-24,419
18/02/2020;-24,572
19/02/2020;-24,780
20/02/2020;-24,812
21/02/2020;-24,942
22/02/2020;-24,847
23/02/2020;-24,711
24/02/2020;-24,780
25/02/2020;-25,140
26/02/2020;-24,594
27/02/2020;-24,481
28/02/2020;-24,198
29/02/2020;-24,386
01/03/2020;-24,576
02/03/2020;-24,919
03/03/2020;-24,633
04/03/2020;-24,321
05/03/2020;-24,103
06/03/2020;-22,963
07/03/2020;-23,329
08/03/2020;-23,140
09/03/2020;-22,623
10/03/2020;-22,636
11/03/2020;-22,649
12/03/2020;-22,801
13/03/2020;-22,905
14/03/2020;-23,492
15/03/2020;-23,811
16/03/2020;-23,876
17/03/2020;-23,819
18/03/2020;-23,738
19/03/2020;-23,682
20/03/2020;-23,595
21/03/2020;-23,589
22/03/2020;-23,704
23/03/2020;-23,557
24/03/2020;-23,057
25/03/2020;-22,468
26/03/2020;-22,754
27/03/2020;-22,251
28/03/2020;-21,797
29/03/2020;-21,509
30/03/2020;-21,353
31/03/2020;-21,676
01/04/2020;-21,368
02/04/2020;-21,809
03/04/2020;-21,871
04/04/2020;-21,947
05/04/2020;-22,157
06/04/2020;-22,315
07/04/2020;-22,500
08/04/2020;-22,592
09/04/2020;-22,687
10/04/2020;-22,812
11/04/2020;-22,951
12/04/2020;-23,003
13/04/2020;-23,108
14/04/2020;-22,858
15/04/2020;-22,647
16/04/2020;-22,794
17/04/2020;-22,866
18/04/2020;-22,945
19/04/2020;-22,811
20/04/2020;-23,686
21/04/2020;-23,991
22/04/2020;-24,719
23/04/2020;-24,308
24/04/2020;-24,137
25/04/2020;-23,930
26/04/2020;-23,690
27/04/2020;-24,099
28/04/2020;-23,950
29/04/2020;-23,045
30/04/2020;-22,814
01/05/2020;-22,361
02/05/2020;-21,428
03/05/2020;-20,951
04/05/2020;-20,825
05/05/2020;-20,950
06/05/2020;-20,853
07/05/2020;-20,910
08/05/2020;-21,026
09/05/2020;-21,082
10/05/2020;-21,830
11/05/2020;-21,853
12/05/2020;-21,967
13/05/2020;-22,758
14/05/2020;-24,181
15/05/2020;-24,527
16/05/2020;-25,453
17/05/2020;-25,858
18/05/2020;-25,919
19/05/2020;-26,125
20/05/2020;-26,898
21/05/2020;-25,912
22/05/2020;-25,044
23/05/2020;-24,437
24/05/2020;-24,023
25/05/2020;-23,853
26/05/2020;-23,219
27/05/2020;-22,681
28/05/2020;-22,275
29/05/2020;-22,087
30/05/2020;-22,013
31/05/2020;-22,593
01/06/2020;-22,291
02/06/2020;-22,249
03/06/2020;-22,104
04/06/2020;-22,396
05/06/2020;-22,253
06/06/2020;-21,783
07/06/2020;-21,984
08/06/2020;-22,191
09/06/2020;-23,112
10/06/2020;-22,131
11/06/2020;-21,763
12/06/2020;-21,700
13/06/2020;-21,926
14/06/2020;-21,673
15/06/2020;-21,716
16/06/2020;-21,680
17/06/2020;-21,561
18/06/2020;-21,277
19/06/2020;-21,282
20/06/2020;-21,427
21/06/2020;
22/06/2020;-21,232
23/06/2020;-21,127
24/06/2020;-20,639
25/06/2020;-20,874
26/06/2020;-20,601
27/06/2020;-20,795
28/06/2020;-20,455
29/06/2020;-20,401
30/06/2020;-20,087
01/07/2020;-20,496
02/07/2020;-20,149
03/07/2020;-20,014
04/07/2020;-20,472
05/07/2020;-20,662
06/07/2020;-20,283
07/07/2020;-20,130
08/07/2020;-20,319
09/07/2020;-20,315
10/07/2020;-20,224
11/07/2020;-20,332
12/07/2020;-20,337
13/07/2020;-20,472
14/07/2020;-20,752
15/07/2020;-21,309
16/07/2020;-21,382
17/07/2020;-21,548
18/07/2020;-21,513
19/07/2020;-21,301
20/07/2020;-21,006
21/07/2020;-20,908
22/07/2020;-20,761
23/07/2020;-20,469
24/07/2020;-20,123
25/07/2020;-19,950
26/07/2020;-19,411
27/07/2020;-19,393
28/07/2020;-19,470
29/07/2020;-19,379
30/07/2020;-19,312
31/07/2020;-19,329
01/08/2020;-19,236
02/08/2020;-19,203
03/08/2020;-20,130
04/08/2020;-20,659
05/08/2020;-20,119
06/08/2020;-20,448
07/08/2020;-20,366
08/08/2020;-20,048
09/08/2020;-19,969
10/08/2020;-19,829
11/08/2020;-19,343
12/08/2020;-19,392
13/08/2020;-19,236
14/08/2020;-19,216
15/08/2020;-19,435
16/08/2020;-19,440
17/08/2020;-19,545
18/08/2020;-19,663
19/08/2020;-19,682
20/08/2020;-19,334
21/08/2020;-19,261
22/08/2020;-19,113
23/08/2020;-19,020
24/08/2020;-19,356
25/08/2020;-19,223
26/08/2020;-19,323
27/08/2020;-19,046
28/08/2020;-19,204
29/08/2020;-19,451
30/08/2020;-19,472
31/08/2020;-19,767
01/09/2020;-19,635
02/09/2020;-19,585
03/09/2020;-19,832
04/09/2020;-20,698
05/09/2020;-20,754
06/09/2020;-20,896
07/09/2020;-20,126
08/09/2020;-19,896
09/09/2020;-19,678
10/09/2020;-19,359
11/09/2020;-19,434
12/09/2020;-19,346
13/09/2020;-19,326
14/09/2020;-19,167
15/09/2020;-19,028
16/09/2020;-19,007
17/09/2020;-18,672
18/09/2020;-18,300
19/09/2020;-18,422
20/09/2020;-18,266
21/09/2020;-18,445
22/09/2020;-18,283
23/09/2020;-17,850
24/09/2020;-17,689
25/09/2020;-16,787
26/09/2020;-16,154
27/09/2020;-15,656
28/09/2020;-15,115
29/09/2020;-15,144
30/09/2020;-15,384
01/10/2020;-16,635
02/10/2020;-16,806
03/10/2020;-17,966
04/10/2020;-18,066
05/10/2020;-18,615
06/10/2020;-18,932
07/10/2020;-18,864
08/10/2020;-18,441
09/10/2020;-18,182
10/10/2020;-17,884
11/10/2020;-18,872
12/10/2020;-19,154
13/10/2020;-18,815
14/10/2020;-19,076
15/10/2020;-18,364
16/10/2020;-17,243
17/10/2020;-17,346
18/10/2020;-17,214
19/10/2020;-17,125
20/10/2020;-16,894
21/10/2020;-16,688
22/10/2020;-16,538
23/10/2020;-16,381
24/10/2020;-16,676
25/10/2020;-16,630
26/10/2020;-16,638
27/10/2020;-17,319
28/10/2020;-16,585
29/10/2020;-16,369
30/10/2020;-16,423
31/10/2020;-16,274
01/11/2020;-16,146
02/11/2020;-16,036
03/11/2020;-15,934
04/11/2020;
05/11/2020;-15,946
06/11/2020;-15,901
07/11/2020;-15,907
08/11/2020;-15,889
09/11/2020;-15,851
10/11/2020;-15,861
11/11/2020;-15,820
12/11/2020;-15,814
13/11/2020;-15,701
14/11/2020;-15,855
15/11/2020;-15,842
16/11/2020;-16,167
17/11/2020;-16,261
18/11/2020;-16,267
19/11/2020;-16,006
20/11/2020;-15,973
21/11/2020;-16,384
22/11/2020;
23/11/2020;
24/11/2020;-16,105
25/11/2020;-16,164
26/11/2020;-16,229
27/11/2020;-16,736
28/11/2020;-17,354
29/11/2020;-16,719
30/11/2020;-15,877
01/12/2020;-15,281
02/12/2020;-15,629
03/12/2020;-14,629
04/12/2020;-13,615
05/12/2020;-13,555
06/12/2020;-12,929
07/12/2020;-12,649
08/12/2020;-12,075
09/12/2020;-11,136
10/12/2020;-11,261
11/12/2020;-10,868
12/12/2020;-10,597
13/12/2020;-10,049
14/12/2020;-10,304
15/12/2020;-10,549
16/12/2020;-10,668
17/12/2020;-10,898
18/12/2020;-11,007
19/12/2020;-11,119
20/12/2020;-11,281
21/12/2020;-11,436
22/12/2020;-11,519
23/12/2020;-11,571
24/12/2020;-12,246
25/12/2020;-12,518
26/12/2020;-12,620
27/12/2020;-11,824
28/12/2020;-12,213
29/12/2020;-12,812
30/12/2020;-12,522
31/12/2020;-12,499
01/01/2021;-12,157
02/01/2021;-12,342
03/01/2021;-12,231
04/01/2021;-12,529
05/01/2021;-12,399
06/01/2021;-12,410
07/01/2021;-11,750
08/01/2021;-10,826
09/01/2021;-10,261
10/01/2021;-10,075
11/01/2021;-9,692
12/01/2021;-10,196
13/01/2021;-10,393
14/01/2021;-10,482
15/01/2021;-10,510
16/01/2021;-9,858
17/01/2021;-9,856
18/01/2021;-9,759
19/01/2021;-9,726
20/01/2021;-9,483
21/01/2021;-9,973
22/01/2021;-10,740
23/01/2021;-10,681
24/01/2021;-10,262
25/01/2021;-10,009
26/01/2021;-9,387
27/01/2021;-9,424
28/01/2021;
29/01/2021;
30/01/2021;
31/01/2021;
01/02/2021;
02/02/2021;
03/02/2021;
04/02/2021;-9,732
05/02/2021;-10,409
06/02/2021;-10,211
07/02/2021;-9,954
08/02/2021;-9,462
09/02/2021;-8,978
10/02/2021;-8,275
11/02/2021;-8,175
12/02/2021;-8,618
13/02/2021;-8,449
14/02/2021;-8,173
15/02/2021;-8,470
16/02/2021;-8,875
17/02/2021;-9,208
18/02/2021;-9,613
19/02/2021;-10,065
20/02/2021;-10,345
21/02/2021;-10,698
22/02/2021;-10,869
23/02/2021;-11,117
24/02/2021;-11,375
25/02/2021;-11,672
26/02/2021;-11,537
27/02/2021;-11,659
28/02/2021;-11,956
01/03/2021;-12,119
02/03/2021;-12,298
03/03/2021;-12,509
04/03/2021;-12,904
05/03/2021;-13,659
06/03/2021;-13,569
07/03/2021;
08/03/2021;-13,613
09/03/2021;-13,665
10/03/2021;
11/03/2021;
12/03/2021;
13/03/2021;
14/03/2021;
15/03/2021;
16/03/2021;
17/03/2021;
18/03/2021;-13,713
19/03/2021;-14,525
20/03/2021;-14,491
21/03/2021;-14,975
22/03/2021;-14,735
23/03/2021;-14,828
24/03/2021;-14,992
25/03/2021;-14,769
26/03/2021;-14,984
27/03/2021;-15,417
28/03/2021;-15,820
29/03/2021;-15,941
30/03/2021;-15,976
31/03/2021;-15,778
01/04/2021;-15,698
02/04/2021;-16,035
03/04/2021;-16,037
04/04/2021;-15,820
05/04/2021;-15,683
06/04/2021;-15,540
07/04/2021;-14,777
08/04/2021;-14,811
09/04/2021;-14,806
10/04/2021;-14,890
11/04/2021;-14,886
12/04/2021;-15,257
13/04/2021;-14,927
14/04/2021;-15,030
15/04/2021;-15,143
16/04/2021;-15,059
17/04/2021;-16,109
18/04/2021;-16,504
19/04/2021;-15,547
20/04/2021;-14,908
21/04/2021;-15,022
22/04/2021;-15,413
23/04/2021;-15,513
24/04/2021;-14,658
25/04/2021;-14,926
26/04/2021;-14,923
27/04/2021;-14,419
28/04/2021;-13,981
29/04/2021;-13,672
30/04/2021;-14,507
