day;ppm
01/11/2018;-1,599
02/11/2018;-1,112
03/11/2018;-1,611
04/11/2018;-1,345
05/11/2018;-1,306
06/11/2018;-1,410
07/11/2018;-1,449
08/11/2018;-1,626
09/11/2018;-1,609
10/11/2018;-1,476
11/11/2018;-1,418
12/11/2018;-1,482
13/11/2018;-1,512
14/11/2018;-1,484
15/11/2018;-1,417
16/11/2018;-1,542
17/11/2018;-1,549
18/11/2018;-1,450
19/11/2018;-1,021
20/11/2018;-0,468
21/11/2018;-0,692
22/11/2018;-0,743
23/11/2018;-0,841
24/11/2018;-0,964
25/11/2018;-1,054
26/11/2018;-1,157
27/11/2018;-0,930
28/11/2018;-1,063
29/11/2018;-1,489
30/11/2018;-1,447
01/12/2018;-1,351
02/12/2018;-1,199
03/12/2018;-0,031
04/12/2018;0,084
05/12/2018;0,055
06/12/2018;-0,149
07/12/2018;-0,201
08/12/2018;-0,189
09/12/2018;-0,405
10/12/2018;-0,380
11/12/2018;-0,382
12/12/2018;-0,306
13/12/2018;-0,128
14/12/2018;0,054
15/12/2018;-0,028
16/12/2018;-0,109
17/12/2018;0,037
18/12/2018;0,028
19/12/2018;-0,227
20/12/2018;-0,395
21/12/2018;-0,547
22/12/2018;-0,768
23/12/2018;-0,876
24/12/2018;-1,782
25/12/2018;2,244
26/12/2018;6,266
27/12/2018;9,969
28/12/2018;13,296
29/12/2018;15,941
30/12/2018;18,134
31/12/2018;19,876
01/01/2019;21,223
02/01/2019;22,371
03/01/2019;23,719
04/01/2019;24,787
05/01/2019;25,546
06/01/2019;26,054
07/01/2019;26,514
08/01/2019;26,322
09/01/2019;26,682
10/01/2019;27,363
11/01/2019;29,028
12/01/2019;29,076
13/01/2019;28,303
14/01/2019;27,856
15/01/2019;27,244
16/01/2019;26,637
17/01/2019;26,257
18/01/2019;25,928
19/01/2019;
20/01/2019;
21/01/2019;
22/01/2019;
23/01/2019;26,158
24/01/2019;26,862
25/01/2019;27,116
26/01/2019;27,194
27/01/2019;27,217
28/01/2019;27,280
29/01/2019;27,388
30/01/2019;27,524
31/01/2019;27,649
01/02/2019;27,967
02/02/2019;28,038
03/02/2019;28,027
04/02/2019;27,778
05/02/2019;27,350
06/02/2019;26,746
07/02/2019;
08/02/2019;26,540
09/02/2019;26,613
10/02/2019;26,970
11/02/2019;27,169
12/02/2019;27,378
13/02/2019;27,877
14/02/2019;28,257
15/02/2019;28,488
16/02/2019;28,806
17/02/2019;29,249
18/02/2019;29,580
19/02/2019;29,810
20/02/2019;30,123
21/02/2019;30,350
22/02/2019;30,456
23/02/2019;30,544
24/02/2019;30,532
25/02/2019;30,529
26/02/2019;30,562
27/02/2019;30,611
28/02/2019;30,605
01/03/2019;30,636
02/03/2019;30,770
03/03/2019;30,891
04/03/2019;30,758
05/03/2019;30,874
06/03/2019;30,839
07/03/2019;30,875
08/03/2019;30,893
09/03/2019;30,954
10/03/2019;31,004
11/03/2019;31,037
12/03/2019;31,363
13/03/2019;31,421
14/03/2019;31,701
15/03/2019;31,820
16/03/2019;31,586
17/03/2019;31,557
18/03/2019;31,541
19/03/2019;31,556
20/03/2019;31,595
21/03/2019;31,217
22/03/2019;31,165
23/03/2019;31,351
24/03/2019;31,390
25/03/2019;31,524
26/03/2019;31,661
27/03/2019;31,985
28/03/2019;32,289
29/03/2019;32,309
30/03/2019;32,092
31/03/2019;31,989
01/04/2019;31,994
02/04/2019;32,035
03/04/2019;32,283
04/04/2019;
05/04/2019;33,290
06/04/2019;33,086
07/04/2019;33,130
08/04/2019;33,102
09/04/2019;33,087
10/04/2019;33,244
11/04/2019;33,346
12/04/2019;33,544
13/04/2019;34,646
14/04/2019;34,561
15/04/2019;34,183
16/04/2019;33,908
17/04/2019;33,517
18/04/2019;33,257
19/04/2019;33,236
20/04/2019;33,174
21/04/2019;33,231
22/04/2019;33,315
23/04/2019;33,344
24/04/2019;33,347
25/04/2019;33,442
26/04/2019;33,429
27/04/2019;33,547
28/04/2019;33,527
29/04/2019;33,588
30/04/2019;33,573
01/05/2019;33,495
02/05/2019;33,417
03/05/2019;33,599
04/05/2019;33,728
05/05/2019;33,924
06/05/2019;34,066
07/05/2019;34,025
08/05/2019;33,726
09/05/2019;33,640
10/05/2019;33,632
11/05/2019;33,624
12/05/2019;33,842
13/05/2019;33,846
14/05/2019;33,890
15/05/2019;34,097
16/05/2019;34,217
17/05/2019;34,398
18/05/2019;34,460
19/05/2019;34,671
20/05/2019;34,829
21/05/2019;34,728
22/05/2019;34,614
23/05/2019;34,584
24/05/2019;34,408
25/05/2019;34,459
26/05/2019;34,476
27/05/2019;34,651
28/05/2019;34,642
29/05/2019;34,920
30/05/2019;34,530
31/05/2019;33,875
01/06/2019;33,522
02/06/2019;32,451
03/06/2019;31,621
04/06/2019;31,207
05/06/2019;31,077
06/06/2019;31,074
07/06/2019;31,042
08/06/2019;31,518
09/06/2019;31,296
10/06/2019;31,261
11/06/2019;31,502
12/06/2019;31,891
13/06/2019;32,240
14/06/2019;31,908
