day;ppm
01/11/2018;-1,846
02/11/2018;-1,468
03/11/2018;-2,390
04/11/2018;-1,782
05/11/2018;-1,135
06/11/2018;-0,938
07/11/2018;-0,584
08/11/2018;-0,144
09/11/2018;-0,168
10/11/2018;-0,393
11/11/2018;-0,772
12/11/2018;-1,093
13/11/2018;-1,113
14/11/2018;-1,045
15/11/2018;-0,911
16/11/2018;-0,919
17/11/2018;-0,961
18/11/2018;-0,995
19/11/2018;-0,978
20/11/2018;-0,787
21/11/2018;-0,541
22/11/2018;-0,458
23/11/2018;-0,339
24/11/2018;-0,330
25/11/2018;-0,454
26/11/2018;-0,056
27/11/2018;-0,166
28/11/2018;-0,316
29/11/2018;-0,007
30/11/2018;-0,056
01/12/2018;-0,201
02/12/2018;-0,317
03/12/2018;1,732
04/12/2018;1,596
05/12/2018;1,343
06/12/2018;1,234
07/12/2018;0,855
08/12/2018;0,397
09/12/2018;0,223
10/12/2018;0,140
11/12/2018;0,423
12/12/2018;0,451
13/12/2018;0,431
14/12/2018;0,525
15/12/2018;0,421
16/12/2018;0,474
17/12/2018;0,605
18/12/2018;0,732
19/12/2018;0,766
20/12/2018;0,750
21/12/2018;0,750
22/12/2018;0,783
23/12/2018;0,896
24/12/2018;-2,084
25/12/2018;-7,476
26/12/2018;-12,620
27/12/2018;-16,844
28/12/2018;-20,377
29/12/2018;-23,163
30/12/2018;-25,262
31/12/2018;-27,190
01/01/2019;-28,725
02/01/2019;-29,715
03/01/2019;-30,199
04/01/2019;-30,148
05/01/2019;-30,112
06/01/2019;-29,814
07/01/2019;-29,371
08/01/2019;-28,906
09/01/2019;-28,001
10/01/2019;-26,986
11/01/2019;-24,623
12/01/2019;-24,312
13/01/2019;-23,964
14/01/2019;-23,860
15/01/2019;-23,802
16/01/2019;-23,728
17/01/2019;-23,856
18/01/2019;-24,181
19/01/2019;
20/01/2019;
21/01/2019;
22/01/2019;
23/01/2019;-23,851
24/01/2019;-23,185
25/01/2019;-22,883
26/01/2019;-22,879
27/01/2019;-22,906
28/01/2019;-22,819
29/01/2019;-22,740
30/01/2019;-22,576
31/01/2019;-22,195
01/02/2019;-22,285
02/02/2019;-22,303
03/02/2019;-22,340
04/02/2019;-22,703
05/02/2019;-23,226
06/02/2019;-23,013
07/02/2019;
08/02/2019;-22,700
09/02/2019;-22,123
10/02/2019;-21,764
11/02/2019;-21,531
12/02/2019;-21,546
13/02/2019;-21,941
14/02/2019;-21,887
15/02/2019;-21,842
16/02/2019;-21,642
17/02/2019;-21,367
18/02/2019;-21,183
19/02/2019;-21,008
20/02/2019;-20,798
21/02/2019;-20,671
22/02/2019;-20,532
23/02/2019;-20,654
24/02/2019;-20,690
25/02/2019;-20,413
26/02/2019;-20,166
27/02/2019;-20,162
28/02/2019;-20,003
01/03/2019;-20,002
02/03/2019;-20,056
03/03/2019;-20,165
04/03/2019;-20,057
05/03/2019;-20,152
06/03/2019;-20,239
07/03/2019;-20,222
08/03/2019;-20,204
09/03/2019;-20,140
10/03/2019;-20,052
11/03/2019;-20,052
12/03/2019;-20,128
13/03/2019;-20,251
14/03/2019;-20,099
15/03/2019;-19,979
16/03/2019;-20,047
17/03/2019;-20,070
18/03/2019;-20,030
19/03/2019;-19,961
20/03/2019;-19,993
21/03/2019;-20,724
22/03/2019;-20,723
