day;ppm
01/11/2018;-1,833
02/11/2018;-1,907
03/11/2018;-3,110
04/11/2018;-2,473
05/11/2018;-2,222
06/11/2018;-2,329
07/11/2018;-2,224
08/11/2018;-2,018
09/11/2018;-2,043
10/11/2018;-1,880
11/11/2018;-2,012
12/11/2018;-2,078
13/11/2018;-2,128
14/11/2018;-2,128
15/11/2018;-2,054
16/11/2018;-1,946
17/11/2018;-1,862
18/11/2018;-1,804
19/11/2018;-1,744
20/11/2018;-1,404
21/11/2018;-1,640
22/11/2018;-1,679
23/11/2018;-1,683
24/11/2018;-1,760
25/11/2018;-1,838
26/11/2018;-1,616
27/11/2018;-1,228
28/11/2018;-1,154
29/11/2018;-1,123
30/11/2018;-1,185
01/12/2018;-1,219
02/12/2018;-1,267
03/12/2018;0,061
04/12/2018;-0,061
05/12/2018;-0,205
06/12/2018;-0,429
07/12/2018;-0,577
08/12/2018;-0,752
09/12/2018;-0,929
10/12/2018;-0,815
11/12/2018;-0,549
12/12/2018;-0,136
13/12/2018;-0,068
14/12/2018;0,041
15/12/2018;0,072
16/12/2018;0,021
17/12/2018;-0,494
18/12/2018;-2,205
19/12/2018;-2,104
20/12/2018;-1,954
21/12/2018;-1,789
22/12/2018;-1,765
23/12/2018;-1,620
24/12/2018;-7,776
25/12/2018;-16,791
26/12/2018;-24,293
27/12/2018;-30,514
28/12/2018;-35,629
29/12/2018;-39,818
30/12/2018;-42,965
31/12/2018;-45,699
01/01/2019;-47,710
02/01/2019;-48,748
03/01/2019;-49,237
04/01/2019;-49,552
05/01/2019;-49,487
06/01/2019;-48,903
07/01/2019;-48,209
08/01/2019;-47,625
09/01/2019;-46,219
10/01/2019;-45,398
11/01/2019;-43,378
12/01/2019;-42,795
13/01/2019;-42,462
14/01/2019;-42,094
15/01/2019;-41,872
16/01/2019;-41,446
17/01/2019;-40,986
18/01/2019;-40,164
19/01/2019;
20/01/2019;
21/01/2019;
22/01/2019;
23/01/2019;-39,478
24/01/2019;-38,750
25/01/2019;-38,260
26/01/2019;-37,995
27/01/2019;-37,701
28/01/2019;-37,437
29/01/2019;-37,251
30/01/2019;-36,952
31/01/2019;-36,702
01/02/2019;-36,592
02/02/2019;-36,694
03/02/2019;-36,810
04/02/2019;-37,023
05/02/2019;-37,752
06/02/2019;-37,764
07/02/2019;
08/02/2019;-37,771
09/02/2019;-37,717
10/02/2019;-37,649
11/02/2019;-37,684
12/02/2019;-37,474
13/02/2019;-37,574
14/02/2019;-37,580
15/02/2019;-37,539
16/02/2019;-37,532
17/02/2019;-37,335
18/02/2019;-37,224
19/02/2019;-37,120
20/02/2019;-37,021
21/02/2019;-36,918
22/02/2019;-36,894
23/02/2019;-36,889
24/02/2019;-36,701
25/02/2019;-36,587
26/02/2019;-36,290
27/02/2019;-36,163
28/02/2019;-36,272
01/03/2019;-36,229
02/03/2019;-36,278
03/03/2019;-36,233
04/03/2019;-36,201
05/03/2019;-36,102
06/03/2019;-35,981
07/03/2019;-35,935
08/03/2019;-35,898
09/03/2019;-35,865
10/03/2019;-35,784
11/03/2019;-35,710
12/03/2019;-35,867
13/03/2019;-35,837
14/03/2019;-35,650
15/03/2019;-35,687
16/03/2019;-35,701
17/03/2019;-35,692
18/03/2019;-35,654
19/03/2019;-35,720
20/03/2019;-35,698
21/03/2019;-36,568
22/03/2019;-36,105
23/03/2019;-35,824
24/03/2019;-35,851
25/03/2019;-35,672
26/03/2019;-35,504
27/03/2019;-35,308
28/03/2019;-35,137
29/03/2019;-35,150
30/03/2019;-35,124
31/03/2019;-35,121
01/04/2019;-35,095
02/04/2019;-35,074
03/04/2019;-35,001
04/04/2019;
05/04/2019;-34,150
06/04/2019;-34,096
07/04/2019;-34,053
08/04/2019;-33,859
09/04/2019;-33,814
10/04/2019;-33,815
11/04/2019;-33,926
12/04/2019;-33,961
13/04/2019;-32,857
14/04/2019;-32,883
15/04/2019;-33,048
16/04/2019;-33,241
17/04/2019;-33,430
18/04/2019;-33,568
19/04/2019;-33,669
20/04/2019;-33,785
21/04/2019;-33,894
22/04/2019;-33,978
23/04/2019;-34,016
24/04/2019;-34,019
