day;ppm
01/11/2018;
02/11/2018;
03/11/2018;
04/11/2018;
05/11/2018;
06/11/2018;
07/11/2018;
08/11/2018;
09/11/2018;
10/11/2018;
11/11/2018;
12/11/2018;
13/11/2018;
14/11/2018;
15/11/2018;
16/11/2018;
17/11/2018;
18/11/2018;
19/11/2018;
20/11/2018;
21/11/2018;-9,249
22/11/2018;-14,753
23/11/2018;-11,852
24/11/2018;-10,754
25/11/2018;-8,148
26/11/2018;-7,390
27/11/2018;-10,383
28/11/2018;-10,491
29/11/2018;-10,336
30/11/2018;-10,054
01/12/2018;-9,819
02/12/2018;-9,644
03/12/2018;-9,346
04/12/2018;-9,167
05/12/2018;-9,168
06/12/2018;-9,294
07/12/2018;-9,126
08/12/2018;-9,695
09/12/2018;-9,904
10/12/2018;-9,575
11/12/2018;-9,577
12/12/2018;-9,584
13/12/2018;-9,381
14/12/2018;-9,406
15/12/2018;-9,133
16/12/2018;-9,420
17/12/2018;-9,620
18/12/2018;-9,499
19/12/2018;-9,197
20/12/2018;-8,591
21/12/2018;-8,462
22/12/2018;-8,214
23/12/2018;-8,020
24/12/2018;-6,928
25/12/2018;-6,314
26/12/2018;-5,197
27/12/2018;-4,009
28/12/2018;-2,924
29/12/2018;-1,902
30/12/2018;-1,041
31/12/2018;-0,399
01/01/2019;0,419
02/01/2019;0,974
03/01/2019;1,213
04/01/2019;1,470
05/01/2019;1,650
06/01/2019;1,907
07/01/2019;
08/01/2019;2,962
09/01/2019;3,927
10/01/2019;4,916
11/01/2019;6,263
12/01/2019;6,990
13/01/2019;
14/01/2019;7,408
15/01/2019;7,843
16/01/2019;8,312
17/01/2019;8,777
18/01/2019;9,431
19/01/2019;9,660
20/01/2019;9,793
21/01/2019;10,137
22/01/2019;10,797
23/01/2019;10,866
24/01/2019;10,897
25/01/2019;10,639
26/01/2019;10,850
27/01/2019;11,323
28/01/2019;12,088
29/01/2019;12,214
30/01/2019;11,862
31/01/2019;12,030
01/02/2019;11,722
02/02/2019;11,851
03/02/2019;12,063
04/02/2019;12,890
05/02/2019;13,009
06/02/2019;12,882
07/02/2019;13,054
08/02/2019;13,090
09/02/2019;13,076
10/02/2019;13,175
11/02/2019;11,942
12/02/2019;12,059
13/02/2019;12,076
14/02/2019;12,396
15/02/2019;12,495
16/02/2019;12,716
17/02/2019;13,116
18/02/2019;13,453
19/02/2019;13,786
20/02/2019;14,075
21/02/2019;14,374
22/02/2019;14,570
23/02/2019;14,797
24/02/2019;15,096
25/02/2019;15,337
26/02/2019;15,510
27/02/2019;15,526
28/02/2019;15,645
01/03/2019;15,700
02/03/2019;15,833
03/03/2019;15,953
04/03/2019;16,027
05/03/2019;16,177
06/03/2019;16,211
07/03/2019;16,281
08/03/2019;16,504
09/03/2019;16,629
10/03/2019;16,998
11/03/2019;17,137
12/03/2019;17,043
13/03/2019;16,846
14/03/2019;16,127
15/03/2019;16,008
16/03/2019;16,109
17/03/2019;16,125
18/03/2019;16,464
19/03/2019;16,359
20/03/2019;16,350
21/03/2019;16,458
22/03/2019;16,576
23/03/2019;16,852
24/03/2019;17,153
25/03/2019;17,336
26/03/2019;18,067
27/03/2019;18,152
28/03/2019;18,250
29/03/2019;18,408
30/03/2019;18,491
31/03/2019;18,568
01/04/2019;18,573
02/04/2019;18,582
03/04/2019;18,561
04/04/2019;
05/04/2019;19,104
06/04/2019;19,269
07/04/2019;19,118
08/04/2019;18,820
09/04/2019;17,802
10/04/2019;16,510
11/04/2019;16,614
12/04/2019;16,976
13/04/2019;18,184
14/04/2019;18,461
15/04/2019;18,802
16/04/2019;18,945
17/04/2019;19,210
18/04/2019;19,304
19/04/2019;19,449
20/04/2019;19,560
21/04/2019;19,618
22/04/2019;19,572
23/04/2019;20,157
24/04/2019;20,251
25/04/2019;20,346
26/04/2019;20,357
27/04/2019;21,200
28/04/2019;22,159
29/04/2019;23,439
30/04/2019;24,199
01/05/2019;24,694
02/05/2019;25,079
03/05/2019;25,993
04/05/2019;26,945
05/05/2019;26,722
06/05/2019;25,830
07/05/2019;25,902
08/05/2019;26,193
09/05/2019;25,974
10/05/2019;25,716
11/05/2019;26,034
12/05/2019;25,675
13/05/2019;25,877
14/05/2019;25,848
15/05/2019;26,251
16/05/2019;26,399
17/05/2019;26,447
18/05/2019;26,013
19/05/2019;26,616
20/05/2019;26,384
21/05/2019;26,780
22/05/2019;27,017
23/05/2019;26,856
24/05/2019;26,876
25/05/2019;26,838
26/05/2019;27,001
27/05/2019;27,731
28/05/2019;28,338
29/05/2019;27,991
30/05/2019;28,754
31/05/2019;28,252
01/06/2019;27,954
02/06/2019;27,798
03/06/2019;27,559
04/06/2019;27,564
05/06/2019;27,399
06/06/2019;27,442
07/06/2019;27,370
08/06/2019;27,187
09/06/2019;26,796
10/06/2019;26,697
11/06/2019;26,547
12/06/2019;26,379
13/06/2019;26,479
14/06/2019;26,435
15/06/2019;26,256
16/06/2019;26,195
17/06/2019;26,364
18/06/2019;26,705
19/06/2019;26,832
20/06/2019;26,848
21/06/2019;26,667
22/06/2019;26,602
23/06/2019;26,676
24/06/2019;26,515
25/06/2019;26,717
26/06/2019;26,944
27/06/2019;27,073
28/06/2019;27,143
29/06/2019;27,179
