day;ppm
01/11/2018;
02/11/2018;
03/11/2018;
04/11/2018;
05/11/2018;
06/11/2018;
07/11/2018;
08/11/2018;
09/11/2018;
10/11/2018;
11/11/2018;
12/11/2018;
13/11/2018;
14/11/2018;
15/11/2018;
16/11/2018;
17/11/2018;
18/11/2018;
19/11/2018;
20/11/2018;
21/11/2018;-5,038
22/11/2018;-3,527
23/11/2018;-3,846
24/11/2018;-3,449
25/11/2018;-7,030
26/11/2018;-8,298
27/11/2018;-8,052
28/11/2018;-6,910
29/11/2018;-6,071
30/11/2018;-5,431
01/12/2018;-5,053
02/12/2018;-4,739
03/12/2018;-4,501
04/12/2018;-4,743
05/12/2018;-4,506
06/12/2018;-4,323
07/12/2018;-4,443
08/12/2018;-4,353
09/12/2018;-4,310
10/12/2018;-4,334
11/12/2018;-4,347
12/12/2018;-4,593
13/12/2018;-4,700
14/12/2018;-4,180
15/12/2018;-4,114
16/12/2018;-4,414
17/12/2018;-5,100
18/12/2018;-5,189
19/12/2018;-5,008
20/12/2018;-4,333
21/12/2018;-4,034
22/12/2018;-3,999
23/12/2018;-3,973
24/12/2018;-4,151
25/12/2018;-3,150
26/12/2018;-2,072
27/12/2018;-1,024
28/12/2018;-0,159
29/12/2018;0,601
30/12/2018;1,095
31/12/2018;1,388
01/01/2019;1,731
02/01/2019;1,821
03/01/2019;1,580
04/01/2019;1,509
05/01/2019;1,355
06/01/2019;1,255
07/01/2019;
08/01/2019;1,282
09/01/2019;-0,376
10/01/2019;-1,144
11/01/2019;-1,166
12/01/2019;-1,577
13/01/2019;
14/01/2019;-2,065
15/01/2019;-2,428
16/01/2019;-2,622
17/01/2019;-2,821
18/01/2019;-3,139
19/01/2019;-3,201
20/01/2019;-3,230
21/01/2019;-2,805
22/01/2019;-2,906
23/01/2019;-2,717
24/01/2019;-2,617
25/01/2019;-3,230
26/01/2019;
27/01/2019;
28/01/2019;-3,192
29/01/2019;-3,077
30/01/2019;-3,277
31/01/2019;-3,339
01/02/2019;-2,490
02/02/2019;-2,684
03/02/2019;-2,677
04/02/2019;-2,411
05/02/2019;-2,392
06/02/2019;-2,494
07/02/2019;-2,488
08/02/2019;-2,374
09/02/2019;-2,414
10/02/2019;-2,451
11/02/2019;-3,083
12/02/2019;-3,287
13/02/2019;-3,441
14/02/2019;-3,252
15/02/2019;-3,213
16/02/2019;-3,158
17/02/2019;-3,072
18/02/2019;-3,007
19/02/2019;-2,917
20/02/2019;-2,807
21/02/2019;-2,706
22/02/2019;-2,678
23/02/2019;-2,837
24/02/2019;-2,781
25/02/2019;-2,724
26/02/2019;-2,705
27/02/2019;-2,736
28/02/2019;-2,728
01/03/2019;-2,767
02/03/2019;-2,959
03/03/2019;-2,898
04/03/2019;-2,882
05/03/2019;-2,956
06/03/2019;-2,942
07/03/2019;-3,006
08/03/2019;-2,970
09/03/2019;-2,851
10/03/2019;-2,587
11/03/2019;-2,832
12/03/2019;-2,951
13/03/2019;-3,340
14/03/2019;-3,854
15/03/2019;-3,865
16/03/2019;-3,698
17/03/2019;-3,213
18/03/2019;-3,176
19/03/2019;-2,717
20/03/2019;-2,709
21/03/2019;-2,666
22/03/2019;-2,674
23/03/2019;-2,634
24/03/2019;-2,671
25/03/2019;-2,626
26/03/2019;-2,774
27/03/2019;-2,962
28/03/2019;-3,073
29/03/2019;-3,058
30/03/2019;-3,076
31/03/2019;-3,055
01/04/2019;-3,021
02/04/2019;-3,026
03/04/2019;-2,700
04/04/2019;
05/04/2019;-2,635
06/04/2019;-2,717
07/04/2019;-2,270
08/04/2019;-2,310
09/04/2019;-2,557
10/04/2019;-3,191
11/04/2019;-3,499
12/04/2019;-2,807
13/04/2019;-2,381
14/04/2019;-2,409
15/04/2019;-2,441
16/04/2019;-2,404
17/04/2019;-2,448
18/04/2019;-2,515
19/04/2019;-2,568
20/04/2019;-2,667
21/04/2019;-2,861
22/04/2019;-3,198
23/04/2019;-3,535
24/04/2019;-3,523
25/04/2019;-3,459
26/04/2019;-3,069
27/04/2019;-3,176
28/04/2019;-3,057
29/04/2019;-3,480
30/04/2019;-3,348
01/05/2019;-3,304
02/05/2019;-3,262
03/05/2019;-3,412
04/05/2019;-3,493
05/05/2019;-3,540
06/05/2019;-3,662
07/05/2019;-3,632
08/05/2019;-3,500
09/05/2019;-4,220
10/05/2019;-4,061
11/05/2019;-3,712
12/05/2019;-3,904
13/05/2019;-3,724
14/05/2019;-3,574
15/05/2019;-3,314
16/05/2019;-3,477
17/05/2019;-3,643
18/05/2019;-4,015
19/05/2019;-5,476
20/05/2019;-5,999
21/05/2019;-5,449
22/05/2019;-4,678
23/05/2019;-4,257
24/05/2019;-3,758
25/05/2019;-3,445
26/05/2019;-3,193
27/05/2019;-1,864
28/05/2019;-1,583
29/05/2019;-3,490
30/05/2019;-3,756
31/05/2019;-3,716
01/06/2019;-3,483
02/06/2019;-3,467
03/06/2019;-3,431
04/06/2019;-3,331
05/06/2019;-3,187
06/06/2019;-3,042
07/06/2019;-3,155
08/06/2019;-3,308
09/06/2019;-3,434
10/06/2019;-3,509
11/06/2019;-3,291
12/06/2019;-3,126
13/06/2019;-3,133
14/06/2019;-3,181
15/06/2019;-3,291
16/06/2019;-3,447
