day;ppm
01/11/2018;-1,553
02/11/2018;
03/11/2018;
04/11/2018;0,056
05/11/2018;-0,452
06/11/2018;-0,292
07/11/2018;-0,378
08/11/2018;-0,523
09/11/2018;-0,459
10/11/2018;-0,415
11/11/2018;-0,121
12/11/2018;-0,090
13/11/2018;-0,123
14/11/2018;-0,099
15/11/2018;-0,121
16/11/2018;0,034
17/11/2018;0,059
18/11/2018;-0,156
19/11/2018;-0,130
20/11/2018;-0,364
21/11/2018;-0,381
22/11/2018;-0,314
23/11/2018;-0,210
24/11/2018;-0,028
25/11/2018;-0,160
26/11/2018;-1,160
27/11/2018;-1,292
28/11/2018;-1,313
29/11/2018;-1,207
30/11/2018;-1,112
01/12/2018;
02/12/2018;-0,623
03/12/2018;-0,177
04/12/2018;-0,046
05/12/2018;0,320
06/12/2018;0,386
07/12/2018;0,989
08/12/2018;1,270
09/12/2018;1,055
10/12/2018;0,892
11/12/2018;0,987
12/12/2018;0,825
13/12/2018;0,442
14/12/2018;
15/12/2018;
16/12/2018;0,071
17/12/2018;-0,221
18/12/2018;-0,264
19/12/2018;-0,257
20/12/2018;-0,575
21/12/2018;-0,615
22/12/2018;-0,637
23/12/2018;-0,506
24/12/2018;-7,022
25/12/2018;-15,329
26/12/2018;-22,145
27/12/2018;-27,886
28/12/2018;-32,526
29/12/2018;-36,268
30/12/2018;-39,234
31/12/2018;-41,335
01/01/2019;-42,977
02/01/2019;-44,034
03/01/2019;-44,561
04/01/2019;-45,133
05/01/2019;
06/01/2019;
07/01/2019;
08/01/2019;
09/01/2019;
10/01/2019;
11/01/2019;
12/01/2019;
13/01/2019;
14/01/2019;
15/01/2019;
16/01/2019;-43,114
17/01/2019;-41,120
18/01/2019;-38,815
19/01/2019;-37,226
20/01/2019;-35,719
21/01/2019;-34,613
22/01/2019;-33,637
23/01/2019;-32,441
24/01/2019;-31,573
25/01/2019;-30,180
26/01/2019;
27/01/2019;
28/01/2019;-29,728
29/01/2019;-28,715
30/01/2019;-28,243
31/01/2019;-27,369
01/02/2019;-26,431
02/02/2019;-26,440
03/02/2019;-26,430
04/02/2019;-26,325
05/02/2019;-26,684
06/02/2019;-27,447
07/02/2019;-27,828
08/02/2019;-27,833
09/02/2019;-27,695
10/02/2019;-27,408
11/02/2019;-27,556
12/02/2019;-27,284
13/02/2019;-27,251
14/02/2019;-26,860
15/02/2019;-26,729
16/02/2019;-26,528
17/02/2019;-26,436
18/02/2019;-26,335
19/02/2019;-26,230
20/02/2019;-26,199
21/02/2019;-26,119
22/02/2019;-26,061
23/02/2019;-26,067
24/02/2019;-25,783
25/02/2019;-25,793
26/02/2019;-25,813
27/02/2019;-25,708
28/02/2019;-25,544
01/03/2019;-25,504
02/03/2019;-25,428
03/03/2019;-25,292
04/03/2019;-25,183
05/03/2019;-24,999
06/03/2019;-24,840
07/03/2019;-24,648
08/03/2019;-24,769
09/03/2019;-24,859
10/03/2019;-24,963
11/03/2019;-25,052
12/03/2019;-24,866
13/03/2019;-24,957
14/03/2019;-25,113
15/03/2019;-24,832
16/03/2019;-24,699
17/03/2019;-24,625
18/03/2019;-24,664
19/03/2019;-25,270
20/03/2019;-25,411
