day;ppm
01/11/2018;6,322
02/11/2018;
03/11/2018;
04/11/2018;9,749
05/11/2018;9,075
06/11/2018;8,764
07/11/2018;8,206
08/11/2018;9,100
09/11/2018;9,479
10/11/2018;9,188
11/11/2018;10,221
12/11/2018;10,305
13/11/2018;10,476
14/11/2018;10,452
15/11/2018;10,140
16/11/2018;9,929
17/11/2018;9,520
18/11/2018;9,769
19/11/2018;9,783
20/11/2018;9,360
21/11/2018;8,759
22/11/2018;9,139
23/11/2018;9,388
24/11/2018;9,151
25/11/2018;9,822
26/11/2018;10,249
27/11/2018;11,090
28/11/2018;
29/11/2018;
30/11/2018;11,349
01/12/2018;
02/12/2018;
03/12/2018;9,692
04/12/2018;10,009
05/12/2018;
06/12/2018;10,159
07/12/2018;10,236
08/12/2018;10,004
09/12/2018;10,318
10/12/2018;10,319
11/12/2018;10,864
12/12/2018;
13/12/2018;
14/12/2018;
15/12/2018;
16/12/2018;
17/12/2018;11,171
18/12/2018;11,485
19/12/2018;11,391
20/12/2018;11,155
21/12/2018;11,236
22/12/2018;11,310
23/12/2018;11,409
24/12/2018;14,097
25/12/2018;11,250
26/12/2018;8,419
27/12/2018;6,037
28/12/2018;3,793
29/12/2018;1,796
30/12/2018;0,172
31/12/2018;-1,729
01/01/2019;-3,649
02/01/2019;-4,406
03/01/2019;-4,928
04/01/2019;
05/01/2019;
06/01/2019;
07/01/2019;
08/01/2019;
09/01/2019;
10/01/2019;
11/01/2019;
12/01/2019;
13/01/2019;
14/01/2019;
15/01/2019;
16/01/2019;-4,192
17/01/2019;-3,493
18/01/2019;-3,698
19/01/2019;-3,218
20/01/2019;-2,953
21/01/2019;-2,924
22/01/2019;-3,310
23/01/2019;-3,824
24/01/2019;-3,259
25/01/2019;
26/01/2019;
27/01/2019;
28/01/2019;
29/01/2019;
30/01/2019;
31/01/2019;
01/02/2019;-3,103
02/02/2019;-1,998
03/02/2019;-1,209
04/02/2019;0,256
05/02/2019;2,242
06/02/2019;3,753
07/02/2019;4,854
08/02/2019;5,462
09/02/2019;6,043
10/02/2019;6,534
11/02/2019;7,038
12/02/2019;7,084
13/02/2019;6,887
14/02/2019;6,797
15/02/2019;6,623
16/02/2019;6,446
17/02/2019;6,518
18/02/2019;6,663
19/02/2019;6,888
20/02/2019;7,020
21/02/2019;7,068
22/02/2019;7,132
23/02/2019;7,147
24/02/2019;6,555
25/02/2019;5,983
26/02/2019;5,860
27/02/2019;5,771
28/02/2019;6,060
01/03/2019;6,411
02/03/2019;6,614
03/03/2019;6,475
04/03/2019;6,528
05/03/2019;6,610
06/03/2019;6,329
07/03/2019;6,019
08/03/2019;6,252
09/03/2019;6,176
10/03/2019;6,282
11/03/2019;6,480
12/03/2019;6,408
13/03/2019;6,271
14/03/2019;6,203
15/03/2019;6,229
16/03/2019;6,736
17/03/2019;6,782
18/03/2019;6,890
19/03/2019;7,124
20/03/2019;7,291
21/03/2019;7,725
22/03/2019;7,648
23/03/2019;7,328
24/03/2019;7,800
25/03/2019;7,921
26/03/2019;8,094
27/03/2019;7,744
28/03/2019;7,315
29/03/2019;6,554
30/03/2019;7,030
31/03/2019;7,359
01/04/2019;7,630
02/04/2019;7,648
03/04/2019;7,107
04/04/2019;
05/04/2019;4,975
06/04/2019;5,669
07/04/2019;6,054
08/04/2019;6,575
09/04/2019;6,916
10/04/2019;7,470
11/04/2019;7,379
12/04/2019;7,173
13/04/2019;5,648
14/04/2019;6,220
15/04/2019;6,804
16/04/2019;7,640
17/04/2019;8,325
18/04/2019;8,846
19/04/2019;9,137
20/04/2019;9,509
21/04/2019;9,748
22/04/2019;10,062
23/04/2019;10,545
24/04/2019;10,846
25/04/2019;11,180
26/04/2019;11,453
27/04/2019;11,509
28/04/2019;11,500
29/04/2019;11,785
30/04/2019;11,746
01/05/2019;11,424
02/05/2019;11,227
03/05/2019;11,357
04/05/2019;11,774
05/05/2019;11,602
06/05/2019;11,397
07/05/2019;11,295
08/05/2019;11,252
09/05/2019;11,453
10/05/2019;11,407
11/05/2019;11,045
12/05/2019;11,525
13/05/2019;11,693
14/05/2019;11,615
15/05/2019;11,684
16/05/2019;11,264
17/05/2019;11,317
18/05/2019;11,549
19/05/2019;11,999
20/05/2019;12,243
21/05/2019;12,324
22/05/2019;12,371
23/05/2019;12,440
24/05/2019;12,433
25/05/2019;12,642
26/05/2019;12,722
27/05/2019;12,272
28/05/2019;12,304
29/05/2019;13,237
30/05/2019;12,865
31/05/2019;11,908
01/06/2019;11,152
02/06/2019;10,253
03/06/2019;10,189
04/06/2019;10,240
05/06/2019;10,052
06/06/2019;9,987
07/06/2019;10,288
08/06/2019;10,164
09/06/2019;9,734
10/06/2019;9,813
11/06/2019;9,505
12/06/2019;9,900
13/06/2019;10,440
14/06/2019;10,655
15/06/2019;10,566
16/06/2019;10,343
17/06/2019;10,364
18/06/2019;10,716
19/06/2019;10,571
20/06/2019;10,798
21/06/2019;11,190
22/06/2019;11,272
23/06/2019;11,627
24/06/2019;12,179
25/06/2019;12,441
26/06/2019;12,611
27/06/2019;12,994
28/06/2019;13,320
29/06/2019;13,304
30/06/2019;13,405
01/07/2019;13,552
02/07/2019;12,266
03/07/2019;12,494
04/07/2019;13,118
05/07/2019;12,647
06/07/2019;12,863
07/07/2019;12,824
08/07/2019;13,294
09/07/2019;13,135
10/07/2019;13,651
11/07/2019;13,823
12/07/2019;14,046
13/07/2019;14,331
14/07/2019;14,615
15/07/2019;14,328
16/07/2019;13,935
17/07/2019;13,615
18/07/2019;13,325
19/07/2019;12,846
20/07/2019;12,462
21/07/2019;12,538
22/07/2019;12,451
23/07/2019;12,528
24/07/2019;12,851
25/07/2019;12,884
26/07/2019;12,207
27/07/2019;11,848
28/07/2019;11,789
29/07/2019;11,464
30/07/2019;11,212
31/07/2019;11,002
01/08/2019;11,140
02/08/2019;10,811
03/08/2019;11,124
04/08/2019;10,988
05/08/2019;10,736
06/08/2019;10,412
07/08/2019;10,333
08/08/2019;10,397
09/08/2019;10,614
10/08/2019;10,691
11/08/2019;10,991
12/08/2019;10,853
13/08/2019;11,087
14/08/2019;10,758
15/08/2019;10,736
16/08/2019;10,644
17/08/2019;10,858
18/08/2019;11,165
19/08/2019;11,691
20/08/2019;11,925
21/08/2019;12,237
22/08/2019;11,992
23/08/2019;11,402
24/08/2019;11,324
25/08/2019;11,711
26/08/2019;13,174
27/08/2019;13,338
28/08/2019;13,197
29/08/2019;13,187
30/08/2019;13,456
31/08/2019;13,697
01/09/2019;12,947
02/09/2019;12,859
03/09/2019;12,721
04/09/2019;12,291
05/09/2019;12,680
06/09/2019;12,936
07/09/2019;13,334
08/09/2019;13,572
09/09/2019;13,216
10/09/2019;13,343
11/09/2019;13,761
12/09/2019;13,892
13/09/2019;13,833
14/09/2019;13,774
15/09/2019;13,926
16/09/2019;14,324
17/09/2019;14,239
18/09/2019;14,463
19/09/2019;14,509
20/09/2019;14,851
21/09/2019;14,743
22/09/2019;14,402
23/09/2019;14,942
24/09/2019;14,757
25/09/2019;15,044
26/09/2019;15,286
27/09/2019;15,290
28/09/2019;15,526
29/09/2019;16,450
30/09/2019;16,645
01/10/2019;17,278
02/10/2019;17,425
03/10/2019;17,295
04/10/2019;16,995
05/10/2019;16,910
06/10/2019;16,251
07/10/2019;17,132
08/10/2019;17,796
09/10/2019;17,426
10/10/2019;17,412
11/10/2019;17,442
12/10/2019;17,497
13/10/2019;17,337
14/10/2019;16,913
15/10/2019;16,842
16/10/2019;16,209
17/10/2019;16,561
18/10/2019;16,766
19/10/2019;17,063
20/10/2019;17,737
21/10/2019;17,976
22/10/2019;18,188
23/10/2019;18,317
24/10/2019;18,219
25/10/2019;18,830
26/10/2019;19,184
27/10/2019;19,094
28/10/2019;18,695
29/10/2019;18,858
30/10/2019;18,729
31/10/2019;18,652
01/11/2019;18,602
02/11/2019;18,933
03/11/2019;19,161
04/11/2019;19,305
05/11/2019;19,774
06/11/2019;20,278
07/11/2019;19,601
08/11/2019;18,632
09/11/2019;18,273
10/11/2019;17,863
11/11/2019;17,937
12/11/2019;16,977
13/11/2019;15,474
14/11/2019;14,077
15/11/2019;12,605
16/11/2019;11,891
17/11/2019;11,878
18/11/2019;10,464
19/11/2019;9,816
20/11/2019;10,122
21/11/2019;10,319
22/11/2019;10,766
23/11/2019;11,665
24/11/2019;
25/11/2019;
26/11/2019;11,798
27/11/2019;13,063
28/11/2019;14,676
29/11/2019;16,179
30/11/2019;17,237
01/12/2019;17,987
02/12/2019;18,629
03/12/2019;19,394
04/12/2019;19,762
05/12/2019;20,333
06/12/2019;20,702
07/12/2019;20,830
08/12/2019;21,018
09/12/2019;20,664
10/12/2019;20,655
11/12/2019;20,397
12/12/2019;19,802
13/12/2019;19,943
14/12/2019;20,723
15/12/2019;20,269
16/12/2019;20,164
17/12/2019;20,133
18/12/2019;20,117
19/12/2019;18,266
20/12/2019;18,822
21/12/2019;19,934
22/12/2019;17,650
23/12/2019;16,039
24/12/2019;14,364
25/12/2019;
26/12/2019;
27/12/2019;15,205
28/12/2019;16,591
29/12/2019;17,374
30/12/2019;17,990
31/12/2019;
01/01/2020;18,345
02/01/2020;19,055
03/01/2020;19,853
04/01/2020;20,378
05/01/2020;20,418
06/01/2020;20,254
07/01/2020;20,554
08/01/2020;20,525
09/01/2020;20,516
10/01/2020;20,357
11/01/2020;20,285
12/01/2020;20,185
13/01/2020;20,116
14/01/2020;19,977
15/01/2020;19,823
16/01/2020;19,974
17/01/2020;19,752
18/01/2020;19,371
19/01/2020;19,671
20/01/2020;19,614
21/01/2020;19,774
22/01/2020;19,805
23/01/2020;19,966
24/01/2020;19,996
25/01/2020;20,096
26/01/2020;20,368
27/01/2020;20,128
28/01/2020;20,119
29/01/2020;20,539
30/01/2020;20,594
31/01/2020;20,353
01/02/2020;20,200
02/02/2020;20,125
03/02/2020;20,217
04/02/2020;20,502
05/02/2020;19,978
06/02/2020;19,644
07/02/2020;19,099
08/02/2020;18,963
09/02/2020;19,011
10/02/2020;18,868
11/02/2020;18,963
12/02/2020;19,199
13/02/2020;18,787
14/02/2020;19,210
15/02/2020;19,279
16/02/2020;19,394
17/02/2020;19,536
18/02/2020;19,512
19/02/2020;19,392
20/02/2020;19,469
21/02/2020;19,675
22/02/2020;19,780
23/02/2020;19,949
24/02/2020;20,002
25/02/2020;19,918
