day;ppm
01/11/2018;-0,977
02/11/2018;
03/11/2018;
04/11/2018;-1,185
05/11/2018;-2,003
06/11/2018;-1,997
07/11/2018;-1,777
08/11/2018;-1,384
09/11/2018;-1,447
10/11/2018;-1,242
11/11/2018;-1,468
12/11/2018;-1,352
13/11/2018;-1,335
14/11/2018;-1,268
15/11/2018;-1,183
16/11/2018;-1,290
17/11/2018;-1,409
18/11/2018;-0,999
19/11/2018;-0,240
20/11/2018;0,339
21/11/2018;0,332
22/11/2018;0,320
23/11/2018;0,064
24/11/2018;-0,337
25/11/2018;0,291
26/11/2018;0,569
27/11/2018;0,626
28/11/2018;-0,111
29/11/2018;-0,767
30/11/2018;-0,583
01/12/2018;
02/12/2018;-0,501
03/12/2018;-1,240
04/12/2018;-1,069
05/12/2018;-0,891
06/12/2018;-0,756
07/12/2018;-0,639
08/12/2018;-0,317
09/12/2018;-0,187
10/12/2018;-0,336
11/12/2018;-0,423
12/12/2018;-0,562
13/12/2018;-0,512
14/12/2018;
15/12/2018;
16/12/2018;0,021
17/12/2018;0,034
18/12/2018;-0,038
19/12/2018;0,003
20/12/2018;0,206
21/12/2018;0,247
22/12/2018;0,382
23/12/2018;0,306
24/12/2018;34,560
25/12/2018;86,658
26/12/2018;131,874
27/12/2018;170,362
28/12/2018;202,669
29/12/2018;228,814
30/12/2018;249,625
31/12/2018;266,032
01/01/2019;278,256
02/01/2019;287,119
03/01/2019;293,361
04/01/2019;297,111
05/01/2019;
06/01/2019;
07/01/2019;
08/01/2019;
09/01/2019;
10/01/2019;
11/01/2019;
12/01/2019;
13/01/2019;
14/01/2019;
15/01/2019;
16/01/2019;298,909
17/01/2019;299,264
18/01/2019;298,144
19/01/2019;296,379
20/01/2019;293,869
21/01/2019;291,079
22/01/2019;288,374
23/01/2019;285,234
24/01/2019;282,358
25/01/2019;279,244
26/01/2019;
27/01/2019;276,283
28/01/2019;273,508
29/01/2019;270,777
30/01/2019;268,484
31/01/2019;266,593
01/02/2019;264,635
02/02/2019;263,570
03/02/2019;262,729
04/02/2019;262,271
05/02/2019;262,296
06/02/2019;261,766
07/02/2019;261,478
08/02/2019;261,249
09/02/2019;260,655
10/02/2019;260,341
11/02/2019;260,375
12/02/2019;259,847
13/02/2019;259,681
14/02/2019;259,814
15/02/2019;260,040
16/02/2019;260,462
17/02/2019;260,742
18/02/2019;261,067
19/02/2019;261,371
20/02/2019;261,889
21/02/2019;262,210
22/02/2019;262,487
23/02/2019;262,697
24/02/2019;262,664
25/02/2019;262,168
26/02/2019;261,734
27/02/2019;261,968
28/02/2019;262,194
01/03/2019;262,534
02/03/2019;262,700
03/03/2019;262,892
04/03/2019;262,982
05/03/2019;263,095
06/03/2019;262,826
07/03/2019;262,842
08/03/2019;263,003
09/03/2019;263,100
10/03/2019;263,269
11/03/2019;263,469
12/03/2019;263,557
13/03/2019;263,735
14/03/2019;264,057
15/03/2019;264,115
16/03/2019;263,876
17/03/2019;263,706
18/03/2019;263,686
19/03/2019;263,773
20/03/2019;263,904
21/03/2019;264,544
22/03/2019;264,629
23/03/2019;265,047
24/03/2019;265,114
25/03/2019;265,113
26/03/2019;265,225
27/03/2019;265,318
28/03/2019;265,225
29/03/2019;264,943
30/03/2019;264,618
31/03/2019;264,571
01/04/2019;264,585
02/04/2019;264,627
03/04/2019;264,712
04/04/2019;
05/04/2019;263,850
06/04/2019;263,698
07/04/2019;263,895
08/04/2019;264,165
09/04/2019;264,417
10/04/2019;265,159
11/04/2019;265,722
12/04/2019;265,946
13/04/2019;264,943
14/04/2019;265,060
15/04/2019;265,240
16/04/2019;265,507
17/04/2019;265,572
18/04/2019;265,693
19/04/2019;265,919
20/04/2019;266,109
21/04/2019;266,423
22/04/2019;266,921
23/04/2019;267,290
24/04/2019;267,501
25/04/2019;267,795
26/04/2019;267,617
27/04/2019;267,904
28/04/2019;267,879
29/04/2019;268,064
30/04/2019;268,085
01/05/2019;267,878
02/05/2019;267,660
03/05/2019;268,182
04/05/2019;268,603
05/05/2019;268,813
06/05/2019;268,813
07/05/2019;268,568
08/05/2019;268,060
09/05/2019;267,852
10/05/2019;267,547
11/05/2019;267,160
12/05/2019;267,670
13/05/2019;267,620
14/05/2019;267,530
15/05/2019;268,055
16/05/2019;268,089
17/05/2019;268,193
18/05/2019;268,340
19/05/2019;268,978
20/05/2019;269,301
21/05/2019;269,098
22/05/2019;268,905
23/05/2019;268,914
24/05/2019;268,551
25/05/2019;268,493
26/05/2019;268,530
27/05/2019;268,456
28/05/2019;268,323
29/05/2019;269,047
30/05/2019;269,176
31/05/2019;268,444
01/06/2019;267,943
02/06/2019;266,912
03/06/2019;265,984
04/06/2019;265,541
05/06/2019;265,440
06/06/2019;265,534
07/06/2019;265,865
08/06/2019;266,826
09/06/2019;266,897
10/06/2019;267,018
11/06/2019;267,141
12/06/2019;267,939
13/06/2019;268,590
14/06/2019;268,399
15/06/2019;268,574
16/06/2019;268,545
17/06/2019;268,841
