day;ppm
01/11/2018;0,412
02/11/2018;
03/11/2018;
04/11/2018;-0,166
05/11/2018;-0,616
06/11/2018;-0,242
07/11/2018;-0,493
08/11/2018;-0,931
09/11/2018;-0,775
10/11/2018;-0,499
11/11/2018;-0,295
12/11/2018;-0,444
13/11/2018;-0,343
14/11/2018;-0,295
15/11/2018;-0,175
16/11/2018;-0,085
17/11/2018;-0,018
18/11/2018;0,163
19/11/2018;0,655
20/11/2018;0,916
21/11/2018;0,532
22/11/2018;0,339
23/11/2018;0,428
24/11/2018;0,184
25/11/2018;0,290
26/11/2018;0,087
27/11/2018;-0,205
28/11/2018;-0,287
29/11/2018;-0,511
30/11/2018;-0,259
01/12/2018;
02/12/2018;-0,400
03/12/2018;-1,388
04/12/2018;-2,411
05/12/2018;-2,314
06/12/2018;-2,255
07/12/2018;-1,692
08/12/2018;-2,234
09/12/2018;-2,027
10/12/2018;-1,406
11/12/2018;-1,005
12/12/2018;-0,799
13/12/2018;-0,866
14/12/2018;
15/12/2018;
16/12/2018;-1,437
17/12/2018;-0,846
18/12/2018;-1,206
19/12/2018;-1,075
20/12/2018;-0,826
21/12/2018;-0,348
22/12/2018;0,039
23/12/2018;0,401
24/12/2018;16,790
25/12/2018;45,592
26/12/2018;71,097
27/12/2018;93,137
28/12/2018;111,664
29/12/2018;126,940
30/12/2018;138,750
31/12/2018;147,428
01/01/2019;154,367
02/01/2019;159,415
03/01/2019;161,605
04/01/2019;163,101
05/01/2019;
06/01/2019;
07/01/2019;
08/01/2019;
09/01/2019;
10/01/2019;
11/01/2019;
12/01/2019;
13/01/2019;
14/01/2019;
15/01/2019;
16/01/2019;163,342
17/01/2019;162,855
18/01/2019;161,307
19/01/2019;159,784
20/01/2019;157,831
21/01/2019;155,298
22/01/2019;153,452
23/01/2019;151,438
24/01/2019;149,146
25/01/2019;146,694
26/01/2019;
27/01/2019;144,631
28/01/2019;142,661
29/01/2019;141,010
30/01/2019;139,673
31/01/2019;137,962
01/02/2019;136,449
02/02/2019;135,947
03/02/2019;135,373
04/02/2019;135,184
05/02/2019;135,294
06/02/2019;135,494
07/02/2019;135,400
08/02/2019;135,094
09/02/2019;135,011
10/02/2019;134,764
11/02/2019;134,750
12/02/2019;134,385
13/02/2019;134,097
14/02/2019;133,997
15/02/2019;133,817
16/02/2019;133,902
17/02/2019;133,823
18/02/2019;133,852
19/02/2019;133,900
20/02/2019;133,978
21/02/2019;134,096
22/02/2019;134,143
23/02/2019;134,309
24/02/2019;134,456
25/02/2019;134,422
26/02/2019;134,558
27/02/2019;134,696
28/02/2019;134,725
01/03/2019;134,565
02/03/2019;134,343
03/03/2019;134,352
04/03/2019;134,349
05/03/2019;134,426
06/03/2019;134,385
07/03/2019;134,238
08/03/2019;134,438
09/03/2019;134,288
10/03/2019;134,144
11/03/2019;134,050
12/03/2019;133,614
13/03/2019;133,099
14/03/2019;132,291
15/03/2019;131,790
16/03/2019;132,285
17/03/2019;132,524
18/03/2019;132,890
19/03/2019;133,227
20/03/2019;133,620
21/03/2019;134,643
22/03/2019;135,053
23/03/2019;135,350
24/03/2019;135,560
25/03/2019;135,589
26/03/2019;135,521
27/03/2019;135,556
28/03/2019;135,399
29/03/2019;135,210
30/03/2019;135,051
31/03/2019;135,143
01/04/2019;135,113
02/04/2019;135,063
03/04/2019;134,756
04/04/2019;
05/04/2019;134,209
06/04/2019;134,178
07/04/2019;134,260
08/04/2019;134,163
09/04/2019;133,578
10/04/2019;133,964
11/04/2019;134,266
12/04/2019;134,079
13/04/2019;133,364
14/04/2019;133,397
15/04/2019;133,901
16/04/2019;133,982
17/04/2019;134,292
18/04/2019;134,730
19/04/2019;134,993
20/04/2019;135,073
21/04/2019;135,305
22/04/2019;135,863
23/04/2019;136,153
24/04/2019;136,411
25/04/2019;136,612
26/04/2019;136,331
27/04/2019;136,339
28/04/2019;136,068
29/04/2019;136,022
30/04/2019;136,104
01/05/2019;136,071
02/05/2019;136,179
03/05/2019;136,367
04/05/2019;136,557
05/05/2019;136,644
06/05/2019;136,317
07/05/2019;135,964
08/05/2019;135,864
09/05/2019;135,084
10/05/2019;134,217
11/05/2019;133,745
12/05/2019;134,550
13/05/2019;134,964
14/05/2019;135,341
15/05/2019;135,675
16/05/2019;135,995
17/05/2019;135,970
18/05/2019;136,252
19/05/2019;136,520
20/05/2019;136,901
21/05/2019;136,985
22/05/2019;136,882
23/05/2019;136,406
24/05/2019;136,694
25/05/2019;136,714
26/05/2019;137,154
27/05/2019;137,090
28/05/2019;136,791
29/05/2019;137,051
30/05/2019;136,739
31/05/2019;136,445
01/06/2019;136,179
02/06/2019;136,517
03/06/2019;136,297
04/06/2019;135,946
05/06/2019;135,704
06/06/2019;135,526
07/06/2019;135,949
08/06/2019;136,150
09/06/2019;136,684
10/06/2019;136,789
11/06/2019;136,463
12/06/2019;136,431
13/06/2019;136,291
14/06/2019;136,248
15/06/2019;136,399
16/06/2019;136,443
17/06/2019;136,156
18/06/2019;135,943
19/06/2019;136,024
20/06/2019;135,177
21/06/2019;135,014
22/06/2019;135,371
23/06/2019;135,627
