day;ppm
01/11/2018;-0,970
02/11/2018;
03/11/2018;
04/11/2018;-0,620
05/11/2018;-0,759
06/11/2018;-0,568
07/11/2018;-0,267
08/11/2018;0,005
09/11/2018;0,098
10/11/2018;0,050
11/11/2018;-0,006
12/11/2018;-0,102
13/11/2018;-0,160
14/11/2018;-0,044
15/11/2018;-0,009
16/11/2018;0,120
17/11/2018;0,118
18/11/2018;0,181
19/11/2018;-0,223
20/11/2018;-0,548
21/11/2018;-0,533
22/11/2018;-0,404
23/11/2018;-0,309
24/11/2018;-0,239
25/11/2018;-0,218
26/11/2018;-1,354
27/11/2018;-1,818
28/11/2018;-1,774
29/11/2018;-1,699
30/11/2018;-1,511
01/12/2018;
02/12/2018;-1,354
03/12/2018;-0,933
04/12/2018;-1,138
05/12/2018;-1,007
06/12/2018;-0,930
07/12/2018;-0,789
08/12/2018;-0,618
09/12/2018;-0,751
10/12/2018;-0,764
11/12/2018;-0,782
12/12/2018;-1,098
13/12/2018;-1,151
14/12/2018;
15/12/2018;
16/12/2018;-1,456
17/12/2018;-1,978
18/12/2018;-2,225
19/12/2018;-1,951
20/12/2018;-1,580
21/12/2018;-1,412
22/12/2018;-1,199
23/12/2018;-0,932
24/12/2018;1,351
25/12/2018;8,317
26/12/2018;14,632
27/12/2018;20,140
28/12/2018;24,772
29/12/2018;28,596
30/12/2018;31,715
31/12/2018;33,986
01/01/2019;35,955
02/01/2019;37,186
03/01/2019;37,955
04/01/2019;38,543
05/01/2019;
06/01/2019;
07/01/2019;
08/01/2019;
09/01/2019;
10/01/2019;
11/01/2019;
12/01/2019;
13/01/2019;
14/01/2019;
15/01/2019;
16/01/2019;39,112
17/01/2019;39,406
18/01/2019;39,612
19/01/2019;39,562
20/01/2019;39,393
21/01/2019;38,842
22/01/2019;38,548
23/01/2019;38,237
24/01/2019;37,780
25/01/2019;37,236
26/01/2019;
27/01/2019;36,924
28/01/2019;36,261
29/01/2019;35,922
30/01/2019;35,277
31/01/2019;34,892
01/02/2019;35,046
02/02/2019;34,952
03/02/2019;34,974
04/02/2019;35,061
05/02/2019;35,336
06/02/2019;35,162
07/02/2019;35,055
08/02/2019;35,132
09/02/2019;35,174
10/02/2019;35,379
11/02/2019;34,777
12/02/2019;34,798
13/02/2019;34,801
14/02/2019;34,904
15/02/2019;34,976
16/02/2019;35,169
17/02/2019;35,307
18/02/2019;35,453
19/02/2019;35,601
20/02/2019;35,742
21/02/2019;35,867
22/02/2019;35,999
23/02/2019;36,143
24/02/2019;36,251
25/02/2019;36,252
26/02/2019;36,293
27/02/2019;36,273
28/02/2019;36,257
01/03/2019;36,223
02/03/2019;36,091
03/03/2019;36,081
04/03/2019;36,122
05/03/2019;36,298
06/03/2019;36,378
07/03/2019;36,452
08/03/2019;36,499
09/03/2019;36,518
10/03/2019;36,556
11/03/2019;36,527
12/03/2019;36,593
13/03/2019;36,322
14/03/2019;36,061
15/03/2019;35,981
16/03/2019;36,020
17/03/2019;36,163
18/03/2019;36,217
19/03/2019;36,245
20/03/2019;36,336
21/03/2019;36,495
22/03/2019;36,506
23/03/2019;36,412
24/03/2019;36,402
25/03/2019;36,505
26/03/2019;36,554
27/03/2019;36,491
28/03/2019;36,397
29/03/2019;36,447
30/03/2019;36,449
31/03/2019;36,525
01/04/2019;36,674
02/04/2019;36,751
03/04/2019;36,899
04/04/2019;
