day;ppm
01/11/2018;-0,075
02/11/2018;
03/11/2018;
04/11/2018;-3,687
05/11/2018;-4,748
06/11/2018;-4,949
07/11/2018;-4,025
08/11/2018;-3,092
09/11/2018;-3,413
10/11/2018;-3,796
11/11/2018;-4,064
12/11/2018;-4,070
13/11/2018;-4,089
14/11/2018;-3,751
15/11/2018;-3,284
16/11/2018;-3,202
17/11/2018;-3,145
18/11/2018;-2,912
19/11/2018;-2,437
20/11/2018;
21/11/2018;
22/11/2018;-1,768
23/11/2018;-1,621
24/11/2018;-1,830
25/11/2018;-1,010
26/11/2018;-0,433
27/11/2018;
28/11/2018;
29/11/2018;
30/11/2018;-1,040
01/12/2018;-1,542
02/12/2018;
03/12/2018;0,034
04/12/2018;-1,112
05/12/2018;
06/12/2018;-1,213
07/12/2018;-1,409
08/12/2018;-1,440
09/12/2018;-1,185
10/12/2018;-2,493
11/12/2018;-3,331
12/12/2018;
13/12/2018;
14/12/2018;-4,047
15/12/2018;
16/12/2018;
17/12/2018;
18/12/2018;-5,057
19/12/2018;-4,678
20/12/2018;-3,841
21/12/2018;-3,238
22/12/2018;-2,689
23/12/2018;-2,204
24/12/2018;7,890
25/12/2018;18,159
26/12/2018;26,896
27/12/2018;34,427
28/12/2018;40,469
29/12/2018;45,378
30/12/2018;49,406
31/12/2018;51,764
01/01/2019;52,502
02/01/2019;53,982
03/01/2019;54,500
04/01/2019;
05/01/2019;
06/01/2019;
07/01/2019;
08/01/2019;
09/01/2019;
10/01/2019;
11/01/2019;
12/01/2019;
13/01/2019;
14/01/2019;
15/01/2019;
16/01/2019;56,217
17/01/2019;57,222
18/01/2019;58,186
19/01/2019;58,962
20/01/2019;59,317
21/01/2019;59,982
22/01/2019;60,456
23/01/2019;
24/01/2019;
25/01/2019;
26/01/2019;
27/01/2019;
28/01/2019;
29/01/2019;
30/01/2019;
31/01/2019;
01/02/2019;60,603
02/02/2019;60,737
03/02/2019;60,719
04/02/2019;60,328
05/02/2019;
06/02/2019;
07/02/2019;
08/02/2019;
09/02/2019;
10/02/2019;
11/02/2019;
12/02/2019;
13/02/2019;
14/02/2019;
15/02/2019;
16/02/2019;
17/02/2019;
18/02/2019;
19/02/2019;
20/02/2019;
21/02/2019;
22/02/2019;
23/02/2019;
24/02/2019;
25/02/2019;
26/02/2019;
27/02/2019;
28/02/2019;
01/03/2019;
02/03/2019;
03/03/2019;
04/03/2019;
05/03/2019;
06/03/2019;
07/03/2019;
08/03/2019;
09/03/2019;
10/03/2019;
11/03/2019;
12/03/2019;59,920
13/03/2019;59,069
14/03/2019;58,902
15/03/2019;
16/03/2019;
17/03/2019;
18/03/2019;
19/03/2019;
20/03/2019;
21/03/2019;
22/03/2019;
23/03/2019;
24/03/2019;
25/03/2019;
26/03/2019;
27/03/2019;
28/03/2019;
29/03/2019;
30/03/2019;
31/03/2019;
01/04/2019;
02/04/2019;
03/04/2019;
04/04/2019;
05/04/2019;
06/04/2019;
07/04/2019;
08/04/2019;
09/04/2019;
10/04/2019;
11/04/2019;59,978
12/04/2019;
13/04/2019;
14/04/2019;
15/04/2019;
16/04/2019;
17/04/2019;
18/04/2019;
19/04/2019;
20/04/2019;
21/04/2019;
22/04/2019;
23/04/2019;
24/04/2019;
25/04/2019;
26/04/2019;
27/04/2019;
28/04/2019;
29/04/2019;
30/04/2019;
01/05/2019;
02/05/2019;
03/05/2019;
04/05/2019;
05/05/2019;61,306
06/05/2019;62,481
07/05/2019;63,611
08/05/2019;74,324
09/05/2019;72,983
10/05/2019;
11/05/2019;
12/05/2019;
13/05/2019;85,532
14/05/2019;83,833
15/05/2019;
16/05/2019;
17/05/2019;85,421
18/05/2019;
19/05/2019;
20/05/2019;
21/05/2019;
22/05/2019;
23/05/2019;
24/05/2019;
25/05/2019;
26/05/2019;
27/05/2019;
28/05/2019;
29/05/2019;
30/05/2019;
31/05/2019;
01/06/2019;
02/06/2019;
03/06/2019;
04/06/2019;
05/06/2019;
06/06/2019;82,403
07/06/2019;79,241
08/06/2019;76,293
09/06/2019;73,142
10/06/2019;71,341
11/06/2019;69,501
12/06/2019;68,093
13/06/2019;67,196
14/06/2019;66,235
15/06/2019;65,916
16/06/2019;65,048
17/06/2019;64,566
18/06/2019;64,925
