day;ppm
01/11/2018;-3,540
02/11/2018;-3,311
03/11/2018;-4,244
04/11/2018;-4,113
05/11/2018;-4,219
06/11/2018;-4,111
07/11/2018;-3,725
08/11/2018;-3,428
09/11/2018;-3,448
10/11/2018;-3,553
11/11/2018;-3,563
12/11/2018;-3,553
13/11/2018;-3,521
14/11/2018;-3,450
15/11/2018;-3,415
16/11/2018;-3,358
17/11/2018;-3,277
18/11/2018;-3,104
19/11/2018;-2,944
20/11/2018;
21/11/2018;
22/11/2018;-2,330
23/11/2018;-2,137
24/11/2018;-2,230
25/11/2018;-1,966
26/11/2018;-1,545
27/11/2018;
28/11/2018;
29/11/2018;
30/11/2018;-1,373
01/12/2018;-1,421
02/12/2018;-1,599
03/12/2018;-4,038
04/12/2018;-3,520
05/12/2018;-3,249
06/12/2018;-3,090
07/12/2018;-2,937
08/12/2018;-2,793
09/12/2018;-2,702
10/12/2018;-2,253
11/12/2018;-1,572
12/12/2018;-0,797
13/12/2018;-0,759
14/12/2018;-0,652
15/12/2018;-0,735
16/12/2018;-0,649
17/12/2018;
18/12/2018;-1,344
19/12/2018;-1,275
20/12/2018;-1,258
21/12/2018;-1,264
22/12/2018;-1,275
23/12/2018;-1,248
24/12/2018;1,241
25/12/2018;3,495
26/12/2018;5,502
27/12/2018;7,251
28/12/2018;8,564
29/12/2018;9,544
30/12/2018;10,463
31/12/2018;11,166
01/01/2019;12,174
02/01/2019;12,665
03/01/2019;13,175
04/01/2019;
05/01/2019;13,713
06/01/2019;14,076
07/01/2019;14,400
08/01/2019;14,385
09/01/2019;14,116
10/01/2019;13,440
11/01/2019;12,604
12/01/2019;12,101
13/01/2019;12,270
14/01/2019;12,507
15/01/2019;12,575
16/01/2019;12,818
17/01/2019;12,932
18/01/2019;13,087
19/01/2019;13,197
20/01/2019;13,311
21/01/2019;13,495
22/01/2019;13,897
23/01/2019;
24/01/2019;
25/01/2019;
26/01/2019;
27/01/2019;14,458
28/01/2019;14,893
29/01/2019;15,316
30/01/2019;15,751
31/01/2019;16,108
01/02/2019;16,150
02/02/2019;15,950
03/02/2019;15,999
04/02/2019;16,203
05/02/2019;
06/02/2019;
07/02/2019;
08/02/2019;
09/02/2019;
10/02/2019;
11/02/2019;
12/02/2019;
13/02/2019;
14/02/2019;
15/02/2019;
16/02/2019;
17/02/2019;
18/02/2019;
19/02/2019;
20/02/2019;
21/02/2019;
22/02/2019;
23/02/2019;
24/02/2019;
25/02/2019;
26/02/2019;
27/02/2019;
28/02/2019;
01/03/2019;
02/03/2019;
03/03/2019;
