day;ppm
01/11/2018;-2,781
02/11/2018;-4,114
03/11/2018;
04/11/2018;
05/11/2018;
06/11/2018;-1,580
07/11/2018;-0,861
08/11/2018;-0,359
09/11/2018;-0,536
10/11/2018;-0,776
11/11/2018;-0,580
12/11/2018;
13/11/2018;
14/11/2018;-0,678
15/11/2018;-0,808
16/11/2018;-0,798
17/11/2018;-0,853
18/11/2018;-0,791
19/11/2018;-0,510
20/11/2018;
21/11/2018;
22/11/2018;-0,554
23/11/2018;-0,657
24/11/2018;-0,818
25/11/2018;-1,024
26/11/2018;
27/11/2018;
28/11/2018;
29/11/2018;
30/11/2018;-1,111
01/12/2018;-1,172
02/12/2018;-1,125
03/12/2018;-3,165
04/12/2018;-2,781
05/12/2018;-2,580
06/12/2018;-2,208
07/12/2018;-1,968
08/12/2018;-1,938
09/12/2018;-1,735
10/12/2018;-1,372
11/12/2018;-1,163
12/12/2018;-0,815
13/12/2018;-0,517
14/12/2018;-0,355
15/12/2018;-0,294
16/12/2018;-0,103
17/12/2018;
18/12/2018;-0,106
19/12/2018;0,075
20/12/2018;0,088
21/12/2018;0,091
22/12/2018;0,098
23/12/2018;0,064
24/12/2018;-1,516
25/12/2018;-3,849
26/12/2018;-5,889
27/12/2018;-7,678
28/12/2018;-9,115
29/12/2018;-10,314
30/12/2018;-11,262
31/12/2018;-12,115
01/01/2019;-12,308
02/01/2019;-12,668
03/01/2019;-12,936
04/01/2019;
05/01/2019;-13,016
06/01/2019;-13,011
07/01/2019;-13,064
08/01/2019;-12,865
09/01/2019;-12,480
10/01/2019;-12,293
11/01/2019;-12,054
12/01/2019;-11,972
13/01/2019;-11,729
14/01/2019;-11,611
15/01/2019;-11,398
16/01/2019;-11,193
17/01/2019;-11,064
18/01/2019;-11,032
19/01/2019;-10,928
20/01/2019;-10,830
21/01/2019;-10,868
22/01/2019;-11,226
23/01/2019;
24/01/2019;
25/01/2019;
26/01/2019;
27/01/2019;-10,989
28/01/2019;-10,787
29/01/2019;-10,530
30/01/2019;-10,230
31/01/2019;-10,055
01/02/2019;-9,974
02/02/2019;-9,945
03/02/2019;-9,859
04/02/2019;-9,736
05/02/2019;
06/02/2019;
07/02/2019;
08/02/2019;
09/02/2019;
10/02/2019;
11/02/2019;
12/02/2019;
13/02/2019;
14/02/2019;
15/02/2019;
16/02/2019;
17/02/2019;
18/02/2019;
19/02/2019;
20/02/2019;
21/02/2019;
22/02/2019;
23/02/2019;
24/02/2019;
25/02/2019;
26/02/2019;
27/02/2019;
28/02/2019;
01/03/2019;
02/03/2019;
03/03/2019;
04/03/2019;
05/03/2019;
06/03/2019;
07/03/2019;
08/03/2019;
09/03/2019;
10/03/2019;
11/03/2019;
12/03/2019;-9,682
13/03/2019;-9,153
14/03/2019;-8,782
15/03/2019;
16/03/2019;
17/03/2019;
18/03/2019;
19/03/2019;
20/03/2019;
21/03/2019;
22/03/2019;
23/03/2019;
24/03/2019;
25/03/2019;
26/03/2019;
27/03/2019;
28/03/2019;
29/03/2019;
30/03/2019;
31/03/2019;
01/04/2019;
02/04/2019;
03/04/2019;
04/04/2019;
05/04/2019;
06/04/2019;
07/04/2019;
08/04/2019;
09/04/2019;
10/04/2019;
11/04/2019;-8,821
12/04/2019;
13/04/2019;
14/04/2019;
15/04/2019;
16/04/2019;
17/04/2019;
18/04/2019;
19/04/2019;
20/04/2019;
21/04/2019;
22/04/2019;
23/04/2019;
24/04/2019;
25/04/2019;
26/04/2019;
27/04/2019;
28/04/2019;
29/04/2019;
30/04/2019;
01/05/2019;
02/05/2019;
03/05/2019;
04/05/2019;
05/05/2019;-8,503
06/05/2019;-8,404
07/05/2019;-8,339
08/05/2019;-10,639
09/05/2019;-9,968
10/05/2019;
11/05/2019;
12/05/2019;
13/05/2019;-10,677
14/05/2019;-10,189
15/05/2019;
16/05/2019;
17/05/2019;-10,933
18/05/2019;
19/05/2019;
20/05/2019;
21/05/2019;
22/05/2019;
23/05/2019;
24/05/2019;
25/05/2019;
26/05/2019;
27/05/2019;
28/05/2019;
29/05/2019;
30/05/2019;
31/05/2019;
01/06/2019;
02/06/2019;
03/06/2019;
04/06/2019;
05/06/2019;
06/06/2019;-10,563
07/06/2019;-10,198
08/06/2019;-9,917
09/06/2019;-9,497
10/06/2019;-9,410
11/06/2019;-9,192
12/06/2019;-9,174
13/06/2019;-8,941
14/06/2019;-8,841
15/06/2019;-8,728
16/06/2019;-8,536
17/06/2019;-8,181
18/06/2019;-8,256
19/06/2019;
20/06/2019;-8,214
21/06/2019;-8,243
22/06/2019;-8,167
23/06/2019;-8,024
24/06/2019;-8,153
25/06/2019;-8,343
26/06/2019;
27/06/2019;
28/06/2019;
29/06/2019;
30/06/2019;
01/07/2019;
02/07/2019;
03/07/2019;
04/07/2019;
05/07/2019;
06/07/2019;
07/07/2019;
08/07/2019;
09/07/2019;
10/07/2019;
11/07/2019;
12/07/2019;-8,447
13/07/2019;-8,386
14/07/2019;-8,343
15/07/2019;-8,481
16/07/2019;
17/07/2019;
18/07/2019;
19/07/2019;-8,040
20/07/2019;-8,200
21/07/2019;-8,404
22/07/2019;-8,577
23/07/2019;-8,553
24/07/2019;-8,589
25/07/2019;-8,442
26/07/2019;-8,386
27/07/2019;-8,506
28/07/2019;-8,535
29/07/2019;-8,605
30/07/2019;-8,596
31/07/2019;-8,761
01/08/2019;-8,782
02/08/2019;-8,692
03/08/2019;-8,482
04/08/2019;-8,521
05/08/2019;-8,573
06/08/2019;-8,493
07/08/2019;-8,511
08/08/2019;-8,341
09/08/2019;-8,482
10/08/2019;-8,622
11/08/2019;-8,695
12/08/2019;-8,487
13/08/2019;-8,605
14/08/2019;-8,780
15/08/2019;-8,722
16/08/2019;-8,631
17/08/2019;-8,647
18/08/2019;-8,502
19/08/2019;-8,535
20/08/2019;-8,531
21/08/2019;-8,564
22/08/2019;-8,670
23/08/2019;-8,618
24/08/2019;-8,562
25/08/2019;-8,367
26/08/2019;-8,181
27/08/2019;-8,087
28/08/2019;-8,056
29/08/2019;-8,056
30/08/2019;-7,970
31/08/2019;-7,983
01/09/2019;-7,990
02/09/2019;-7,837
03/09/2019;-7,885
04/09/2019;-7,980
05/09/2019;-7,857
06/09/2019;-8,093
07/09/2019;-8,195
08/09/2019;-8,152
09/09/2019;-8,009
10/09/2019;-8,157
11/09/2019;-7,935
12/09/2019;-8,024
13/09/2019;-8,198
14/09/2019;-8,269
15/09/2019;-8,248
16/09/2019;-8,342
17/09/2019;-8,338
18/09/2019;-8,372
19/09/2019;-8,193
20/09/2019;-8,108
21/09/2019;-8,102
22/09/2019;-8,112
23/09/2019;-7,947
24/09/2019;-7,594
25/09/2019;-7,592
26/09/2019;-7,619
27/09/2019;-7,724
28/09/2019;-7,818
29/09/2019;-7,907
30/09/2019;-7,946
01/10/2019;-7,899
02/10/2019;-7,934
03/10/2019;-7,922
04/10/2019;-7,907
05/10/2019;-7,983
06/10/2019;-7,950
07/10/2019;-7,992
08/10/2019;-8,554
09/10/2019;-8,712
10/10/2019;-8,507
11/10/2019;-8,252
12/10/2019;-8,076
13/10/2019;-7,994
14/10/2019;-7,977
15/10/2019;-7,764
16/10/2019;
17/10/2019;
18/10/2019;-7,794
19/10/2019;-7,672
20/10/2019;-7,624
21/10/2019;-7,688
22/10/2019;-7,715
23/10/2019;-7,738
24/10/2019;-7,754
25/10/2019;-7,822
26/10/2019;-7,456
27/10/2019;-7,436
28/10/2019;-7,547
29/10/2019;-7,571
30/10/2019;-7,561
31/10/2019;-7,505
01/11/2019;-7,592
02/11/2019;-7,576
03/11/2019;-7,373
04/11/2019;-7,298
05/11/2019;-7,148
06/11/2019;-7,039
07/11/2019;-7,130
08/11/2019;-7,172
09/11/2019;-7,058
10/11/2019;-6,964
11/11/2019;-6,795
12/11/2019;-7,127
13/11/2019;-6,538
14/11/2019;-6,217
15/11/2019;-6,390
16/11/2019;-6,904
17/11/2019;-6,916
18/11/2019;-6,941
19/11/2019;-6,924
20/11/2019;-7,003
21/11/2019;-6,995
22/11/2019;-6,994
23/11/2019;-6,994
24/11/2019;-7,225
25/11/2019;
26/11/2019;-7,050
27/11/2019;-7,153
