,day,edam_ecne_eplu,edam_ecor_emcn,edam_emsg_eplu,edam_epdn_ecne,edam_epdn_emcn,eint_ecpn_emgl,eint_esln_emgl,eint_esln_espc,emeg_ecpn_emgl,emfn_ecor_ecri,emfn_ecor_emcn,emfn_emcn_epdn,epdn_ecne_ecpn,epdn_eint_ecpn,epdn_eint_espc,epdn_emfn_espc,eplu_ecne_ecpn,eplu_emeg_ecpn,eplu_emeg_emal,eplu_emsg_emal
0,01/11/2018,-0.821,7.456692883,-3.538,-104.318,-5.561,-1.599,-1.846,1.417,-1.833,-9.991550389,-5.287156738,-1.553,6.322,-0.977,0.412,-0.97,-0.075,-3.54,-2.973,-2.781
1,02/11/2018,-1.7476666666666667,7.47167123,-3.233,-104.208,-4.769,-1.112,-1.468,1.724,-1.907,-9.97137694,-5.26258934,-1.0166666666666666,7.464333333333333,-1.0463333333333333,0.21933333333333332,-0.8533333333333333,-1.279,-3.311,-1.881,-4.114
2,03/11/2018,-2.6743333333333332,7.488556504,-5.344,-104.098,-3.9770000000000003,-1.611,-2.39,0.532,-3.11,-9.94624016,-5.246352173,-0.4803333333333333,8.606666666666667,-1.1156666666666668,0.026666666666666672,-0.7366666666666667,-2.483,-4.244,-1.73825,-3.4805
3,04/11/2018,-3.601,7.505914113,-3.613,-103.988,-3.185,-1.345,-1.782,1.464,-2.473,-9.921920155,-5.223216168,0.056,9.749,-1.185,-0.166,-0.62,-3.687,-4.113,-1.5955,-2.847
4,05/11/2018,-3.127,7.524479297,-1.829,-102.455,-1.918,-1.306,-1.135,1.812,-2.222,-9.902297651,-5.195084413,-0.452,9.075,-2.003,-0.616,-0.759,-4.748,-4.219,-1.45275,-2.2135
5,06/11/2018,-2.841,7.541683069,-1.016,-101.369,-0.549,-1.41,-0.938,1.904,-2.329,-9.878038349,-5.171581775,-0.292,8.764,-1.997,-0.242,-0.568,-4.949,-4.111,-1.31,-1.58
6,07/11/2018,-2.109,7.552474223,-0.558,-101.541,-1.185,-1.449,-0.584,1.873,-2.224,-9.872318401,-5.146001094,-0.378,8.206,-1.777,-0.493,-0.267,-4.025,-3.725,-0.906,-0.861
7,08/11/2018,-1.281,7.562209404,0.003,-100.676,-0.959,-1.626,-0.144,2.184,-2.018,-9.873308451,-5.11987606,-0.523,9.1,-1.384,-0.931,0.005,-3.092,-3.428,-1.468,-0.359
8,09/11/2018,-1.598,7.56732786,0.147,-100.319,-0.864,-1.609,-0.168,2.166,-2.043,-9.863986311,-5.095317433,-0.459,9.479,-1.447,-0.775,0.098,-3.413,-3.448,-1.368,-0.536
9,10/11/2018,-1.786,7.569567614,0.31,-100.117,-0.913,-1.476,-0.393,2.027,-1.88,-9.855017989,-5.071932513,-0.415,9.188,-1.242,-0.499,0.05,-3.796,-3.553,-1.371,-0.776
10,11/11/2018,-2.32,7.574706126,0.285,-99.827,-0.708,-1.418,-0.772,1.534,-2.012,-9.846548677,-5.056965872,-0.121,10.221,-1.468,-0.295,-0.006,-4.064,-3.563,-1.574,-0.58
11,12/11/2018,-2.331,7.58352781,0.275,-99.673,-0.423,-1.482,-1.093,1.255,-2.078,-9.832000281,-5.045810689,-0.09,10.305,-1.352,-0.444,-0.102,-4.07,-3.553,-1.584,-0.6126666666666667
12,13/11/2018,-2.429,7.602542566,0.278,-99.522,-0.386,-1.512,-1.113,1.317,-2.128,-9.818687772,-5.018754105,-0.123,10.476,-1.335,-0.343,-0.16,-4.089,-3.521,-1.594,-0.6453333333333333
13,14/11/2018,-2.212,7.620213111,0.208,-99.651,-0.454,-1.484,-1.045,1.39,-2.128,-9.797260029,-4.990480539,-0.099,10.452,-1.268,-0.295,-0.044,-3.751,-3.45,-1.604,-0.678
14,15/11/2018,-1.744,7.642206451,0.158,-99.806,-0.605,-1.417,-0.911,1.523,-2.054,-9.785470653,-4.972465522,-0.121,10.14,-1.183,-0.175,-0.009,-3.284,-3.415,-1.644,-0.808
15,16/11/2018,-1.695,7.672856249,0.1,-100.016,-0.552,-1.542,-0.919,1.636,-1.946,-9.780299695,-4.976450975,0.034,9.929,-1.29,-0.085,0.12,-3.202,-3.358,-1.606,-0.798
16,17/11/2018,-1.643,7.701923242,0.038,-100.32,-0.565,-1.549,-0.961,1.646,-1.862,-9.77150908,-4.983093132,0.059,9.52,-1.409,-0.018,0.118,-3.145,-3.277,-1.46,-0.853
