day;edam_ecne_eplu;edam_ecne_eplu_1d;edam_ecor_emcn;edam_ecor_emcn_1d;edam_emsg_eplu;edam_emsg_eplu_1d;edam_epdn_ecne;edam_epdn_ecne_1d;edam_epdn_emcn;edam_epdn_emcn_1d;eint_ecpn_emgl;eint_ecpn_emgl_1d;eint_esln_emgl;eint_esln_emgl_1d;eint_esln_espc;eint_esln_espc_1d;emeg_ecpn_emgl;emeg_ecpn_emgl_1d;emfn_ecor_ecri;emfn_ecor_ecri_1d;emfn_ecor_emcn;emfn_ecor_emcn_1d;emfn_emcn_epdn;emfn_emcn_epdn_1d;epdn_ecne_ecpn;epdn_ecne_ecpn_1d;epdn_eint_ecpn;epdn_eint_ecpn_1d;epdn_eint_espc;epdn_eint_espc_1d;epdn_emfn_espc;epdn_emfn_espc_1d;eplu_ecne_ecpn;eplu_ecne_ecpn_1d;eplu_emeg_ecpn;eplu_emeg_ecpn_1d;eplu_emeg_emal;eplu_emeg_emal_1d;eplu_emsg_emal;eplu_emsg_emal_1d
01/11/2018;-0,821;0;7,456692883;0;-3,538;0;-104,318;0;-5,561;0;-1,599;0;-1,846;0;1,417;0;-1,833;0;-9,991550389;0;-5,287156738;0;-1,553;0;6,322;0;-0,977;0;0,412;0;-0,97;0;-0,075;0;-3,54;0;-2,973;0;-2,781;0
02/11/2018;-1,747666667;-0,926666667;7,47167123;0,014978347;-3,233;0,305;-104,208;0,11;-4,769;0,792;-1,112;0,487;-1,468;0,378;1,724;0,307;-1,907;-0,074;-9,97137694;0,020173449;-5,26258934;0,024567398;-1,016666667;0,536333333;7,464333333;1,142333333;-1,046333333;-0,069333333;0,219333333;-0,192666667;-0,853333333;0,116666667;-1,279;-1,204;-3,311;0,229;-1,881;1,092;-4,114;-1,333
03/11/2018;-2,674333333;-0,926666667;7,488556504;0,016885274;-5,344;-2,111;-104,098;0,11;-3,977;0,792;-1,611;-0,499;-2,39;-0,922;0,532;-1,192;-3,11;-1,203;-9,94624016;0,02513678;-5,246352173;0,016237167;-0,480333333;0,536333333;8,606666667;1,142333333;-1,115666667;-0,069333333;0,026666667;-0,192666667;-0,736666667;0,116666667;-2,483;-1,204;-4,244;-0,933;-1,73825;0,14275;-3,4805;0,6335
04/11/2018;-3,601;-0,926666667;7,505914113;0,017357609;-3,613;1,731;-103,988;0,11;-3,185;0,792;-1,345;0,266;-1,782;0,608;1,464;0,932;-2,473;0,637;-9,921920155;0,024320005;-5,223216168;0,023136005;0,056;0,536333333;9,749;1,142333333;-1,185;-0,069333333;-0,166;-0,192666667;-0,62;0,116666667;-3,687;-1,204;-4,113;0,131;-1,5955;0,14275;-2,847;0,6335
05/11/2018;-3,127;0,474;7,524479297;0,018565184;-1,829;1,784;-102,455;1,533;-1,918;1,267;-1,306;0,039;-1,135;0,647;1,812;0,348;-2,222;0,251;-9,902297651;0,019622504;-5,195084413;0,028131755;-0,452;-0,508;9,075;-0,674;-2,003;-0,818;-0,616;-0,45;-0,759;-0,139;-4,748;-1,061;-4,219;-0,106;-1,45275;0,14275;-2,2135;0,6335
06/11/2018;-2,841;0,286;7,541683069;0,017203772;-1,016;0,813;-101,369;1,086;-0,549;1,369;-1,41;-0,104;-0,938;0,197;1,904;0,092;-2,329;-0,107;-9,878038349;0,024259302;-5,171581775;0,023502638;-0,292;0,16;8,764;-0,311;-1,997;0,006;-0,242;0,374;-0,568;0,191;-4,949;-0,201;-4,111;0,108;-1,31;0,14275;-1,58;0,6335
07/11/2018;-2,109;0,732;7,552474223;0,010791154;-0,558;0,458;-101,541;-0,172;-1,185;-0,636;-1,449;-0,039;-0,584;0,354;1,873;-0,031;-2,224;0,105;-9,872318401;0,005719948;-5,146001094;0,025580681;-0,378;-0,086;8,206;-0,558;-1,777;0,22;-0,493;-0,251;-0,267;0,301;-4,025;0,924;-3,725;0,386;-0,906;0,404;-0,861;0,719
08/11/2018;-1,281;0,828;7,562209404;0,009735181;0,003;0,561;-100,676;0,865;-0,959;0,226;-1,626;-0,177;-0,144;0,44;2,184;0,311;-2,018;0,206;-9,873308451;-0,00099005;-5,11987606;0,026125034;-0,523;-0,145;9,1;0,894;-1,384;0,393;-0,931;-0,438;0,005;0,272;-3,092;0,933;-3,428;0,297;-1,468;-0,562;-0,359;0,502
09/11/2018;-1,598;-0,317;7,56732786;0,005118456;0,147;0,144;-100,319;0,357;-0,864;0,095;-1,609;0,017;-0,168;-0,024;2,166;-0,018;-2,043;-0,025;-9,863986311;0,00932214;-5,095317433;0,024558627;-0,459;0,064;9,479;0,379;-1,447;-0,063;-0,775;0,156;0,098;0,093;-3,413;-0,321;-3,448;-0,02;-1,368;0,1;-0,536;-0,177
10/11/2018;-1,786;-0,188;7,569567614;0,002239754;0,31;0,163;-100,117;0,202;-0,913;-0,049;-1,476;0,133;-0,393;-0,225;2,027;-0,139;-1,88;0,163;-9,855017989;0,008968322;-5,071932513;0,02338492;-0,415;0,044;9,188;-0,291;-1,242;0,205;-0,499;0,276;0,05;-0,048;-3,796;-0,383;-3,553;-0,105;-1,371;-0,003;-0,776;-0,24
