day;edam_ecne_eplu;edam_ecne_eplu_diff;edam_ecor_emcn;edam_ecor_emcn_diff;edam_emsg_eplu;edam_emsg_eplu_diff;edam_epdn_ecne;edam_epdn_ecne_diff;edam_epdn_emcn;edam_epdn_emcn_diff;eint_ecpn_emgl;eint_ecpn_emgl_diff;eint_esln_emgl;eint_esln_emgl_diff;eint_esln_espc;eint_esln_espc_diff;emeg_ecpn_emgl;emeg_ecpn_emgl_diff;emfn_ecor_ecri;emfn_ecor_ecri_diff;emfn_ecor_emcn;emfn_ecor_emcn_diff;emfn_emcn_epdn;emfn_emcn_epdn_diff;epdn_ecne_ecpn;epdn_ecne_ecpn_diff;epdn_eint_ecpn;epdn_eint_ecpn_diff;epdn_eint_espc;epdn_eint_espc_diff;epdn_emfn_espc;epdn_emfn_espc_diff;eplu_ecne_ecpn;eplu_ecne_ecpn_diff;eplu_emeg_ecpn;eplu_emeg_ecpn_diff;eplu_emeg_emal;eplu_emeg_emal_diff;eplu_emsg_emal;eplu_emsg_emal_diff
01/11/2018;-0,821;0;7,456692883;0;-3,538;0;-104,318;0;-5,561;0;-1,599;0;-1,846;0;1,417;0;-1,833;0;-9,991550389;0;-5,287156738;0;-1,553;0;6,322;0;-0,977;0;0,412;0;-0,97;0;-0,075;0;-3,54;0;-2,973;0;-2,781;0
02/11/2018;-1,747666667;0;7,47167123;0;-3,233;0;-104,208;0;-4,769;0;-1,112;0;-1,468;0;1,724;0;-1,907;0;-9,97137694;0;-5,26258934;0;-1,016666667;0;7,464333333;0;-1,046333333;0;0,219333333;0;-0,853333333;0;-1,279;0;-3,311;0;-1,881;0;-4,114;0
03/11/2018;-2,674333333;-1,853333333;7,488556504;0,031863621;-5,344;-1,806;-104,098;0,22;-3,977;1,584;-1,611;-0,012;-2,39;-0,544;0,532;-0,885;-3,11;-1,277;-9,94624016;0,045310229;-5,246352173;0,040804565;-0,480333333;1,072666667;8,606666667;2,284666667;-1,115666667;-0,138666667;0,026666667;-0,385333333;-0,736666667;0,233333333;-2,483;-2,408;-4,244;-0,704;-1,73825;1,23475;-3,4805;-0,6995
04/11/2018;-3,601;-1,853333333;7,505914113;0,034242883;-3,613;-0,38;-103,988;0,22;-3,185;1,584;-1,345;-0,233;-1,782;-0,314;1,464;-0,26;-2,473;-0,566;-9,921920155;0,049456785;-5,223216168;0,039373172;0,056;1,072666667;9,749;2,284666667;-1,185;-0,138666667;-0,166;-0,385333333;-0,62;0,233333333;-3,687;-2,408;-4,113;-0,802;-1,5955;0,2855;-2,847;1,267
05/11/2018;-3,127;-0,452666667;7,524479297;0,035922793;-1,829;3,515;-102,455;1,643;-1,918;2,059;-1,306;0,305;-1,135;1,255;1,812;1,28;-2,222;0,888;-9,902297651;0,043942509;-5,195084413;0,05126776;-0,452;0,028333333;9,075;0,468333333;-2,003;-0,887333333;-0,616;-0,642666667;-0,759;-0,022333333;-4,748;-2,265;-4,219;0,025;-1,45275;0,2855;-2,2135;1,267
06/11/2018;-2,841;0,76;7,541683069;0,035768956;-1,016;2,597;-101,369;2,619;-0,549;2,636;-1,41;-0,065;-0,938;0,844;1,904;0,44;-2,329;0,144;-9,878038349;0,043881806;-5,171581775;0,051634393;-0,292;-0,348;8,764;-0,985;-1,997;-0,812;-0,242;-0,076;-0,568;0,052;-4,949;-1,262;-4,111;0,002;-1,31;0,2855;-1,58;1,267
07/11/2018;-2,109;1,018;7,552474223;0,027994926;-0,558;1,271;-101,541;0,914;-1,185;0,733;-1,449;-0,143;-0,584;0,551;1,873;0,061;-2,224;-0,002;-9,872318401;0,02997925;-5,146001094;0,049083319;-0,378;0,074;8,206;-0,869;-1,777;0,226;-0,493;0,123;-0,267;0,492;-4,025;0,723;-3,725;0,494;-0,906;0,54675;-0,861;1,3525
08/11/2018;-1,281;1,56;7,562209404;0,020526335;0,003;1,019;-100,676;0,693;-0,959;-0,41;-1,626;-0,216;-0,144;0,794;2,184;0,28;-2,018;0,311;-9,873308451;0,004729898;-5,11987606;0,051705715;-0,523;-0,231;9,1;0,336;-1,384;0,613;-0,931;-0,689;0,005;0,573;-3,092;1,857;-3,428;0,683;-1,468;-0,158;-0,359;1,221
09/11/2018;-1,598;0,511;7,56732786;0,014853637;0,147;0,705;-100,319;1,222;-0,864;0,321;-1,609;-0,16;-0,168;0,416;2,166;0,293;-2,043;0,181;-9,863986311;0,00833209;-5,095317433;0,050683661;-0,459;-0,081;9,479;1,273;-1,447;0,33;-0,775;-0,282;0,098;0,365;-3,413;0,612;-3,448;0,277;-1,368;-0,462;-0,536;0,325
10/11/2018;-1,786;-0,505;7,569567614;0,00735821;0,31;0,307;-100,117;0,559;-0,913;0,046;-1,476;0,15;-0,393;-0,249;2,027;-0,157;-1,88;0,138;-9,855017989;0,018290462;-5,071932513;0,047943547;-0,415;0,108;9,188;0,088;-1,242;0,142;-0,499;0,432;0,05;0,045;-3,796;-0,704;-3,553;-0,125;-1,371;0,097;-0,776;-0,417
11/11/2018;-2,32;-0,722;7,574706126;0,007378266;0,285;0,138;-99,827;0,492;-0,708;0,156;-1,418;0,191;-0,772;-0,604;1,534;-0,632;-2,012;0,031;-9,846548677;0,017437634;-5,056965872;0,038351561;-0,121;0,338;10,221;0,742;-1,468;-0,021;-0,295;0,48;-0,006;-0,104;-4,064;-0,651;-3,563;-0,115;-1,574;-0,206;-0,58;-0,044
12/11/2018;-2,331;-0,545;7,58352781;0,013960196;0,275;-0,035;-99,673;0,444;-0,423;0,49;-1,482;-0,006;-1,093;-0,7;1,255;-0,772;-2,078;-0,198;-9,832000281;0,023017708;-5,045810689;0,026121824;-0,09;0,325;10,305;1,117;-1,352;-0,11;-0,444;0,055;-0,102;-0,152;-4,07;-0,274;-3,553;0;-1,584;-0,213;-0,612666667;0,163333333
13/11/2018;-2,429;-0,109;7,602542566;0,02783644;0,278;-0,007;-99,522;0,305;-0,386;0,322;-1,512;-0,094;-1,113;-0,341;1,317;-0,217;-2,128;-0,116;-9,818687772;0,027860905;-5,018754105;0,038211767;-0,123;-0,002;10,476;0,255;-1,335;0,133;-0,343;-0,048;-0,16;-0,154;-4,089;-0,025;-3,521;0,042;-1,594;-0,02;-0,645333333;-0,065333333
14/11/2018;-2,212;0,119;7,620213111;0,036685301;0,208;-0,067;-99,651;0,022;-0,454;-0,031;-1,484;-0,002;-1,045;0,048;1,39;0,135;-2,128;-0,05;-9,797260029;0,034740252;-4,990480539;0,05533015;-0,099;-0,009;10,452;0,147;-1,268;0,084;-0,295;0,149;-0,044;0,058;-3,751;0,319;-3,45;0,103;-1,604;-0,02;-0,678;-0,065333333
15/11/2018;-1,744;0,685;7,642206451;0,039663885;0,158;-0,12;-99,806;-0,284;-0,605;-0,219;-1,417;0,095;-0,911;0,202;1,523;0,206;-2,054;0,074;-9,785470653;0,033217119;-4,972465522;0,046288583;-0,121;0,002;10,14;-0,336;-1,183;0,152;-0,175;0,168;-0,009;0,151;-3,284;0,805;-3,415;0,106;-1,644;-0,05;-0,808;-0,162666667
16/11/2018;-1,695;0,517;7,672856249;0,052643138;0,1;-0,108;-100,016;-0,365;-0,552;-0,098;-1,542;-0,058;-0,919;0,126;1,636;0,246;-1,946;0,182;-9,780299695;0,016960334;-4,976450975;0,014029564;0,034;0,133;9,929;-0,523;-1,29;-0,022;-0,085;0,21;0,12;0,164;-3,202;0,549;-3,358;0,092;-1,606;-0,002;-0,798;-0,12
17/11/2018;-1,643;0,101;7,701923242;0,059716791;0,038;-0,12;-100,32;-0,514;-0,565;0,04;-1,549;-0,132;-0,961;-0,05;1,646;0,123;-1,862;0,192;-9,77150908;0,013961573;-4,983093132;-0,01062761;0,059;0,18;9,52;-0,62;-1,409;-0,226;-0,018;0,157;0,118;0,127;-3,145;0,139;-3,277;0,138;-1,46;0,184;-0,853;-0,045
18/11/2018;-1,577;0,118;7,72867564;0,055819391;0,032;-0,068;-100,318;-0,302;-0,923;-0,371;-1,45;0,092;-0,995;-0,076;1,55;-0,086;-1,804;0,142;-9,753555671;0,026744024;-4,983871471;-0,007420496;-0,156;-0,19;9,769;-0,16;-0,999;0,291;0,163;0,248;0,181;0,061;-2,912;0,29;-3,104;0,254;-1,367;0,239;-0,791;0,007
19/11/2018;-1,022;0,621;7,761654527;0,059731285;0,005;-0,033;-99,655;0,665;-0,27;0,295;-1,021;0,528;-0,978;-0,017;1,634;-0,012;-1,744;0,118;-9,717225806;0,054283274;-4,963531738;0,019561394;-0,13;-0,189;9,783;0,263;-0,24;1,169;0,655;0,673;-0,223;-0,341;-2,437;0,708;-2,944;0,333;-1,372;0,088;-0,51;0,343
20/11/2018;-0,953333333;0,623666667;7,790290323;0,061614683;-0,034;-0,066;-99,238;1,08;-0,368;0,555;-0,468;0,982;-0,787;0,208;1,673;0,123;-1,404;0,4;-9,678;0,075555671;-4,934483871;0,0493876;-0,364;-0,208;9,36;-0,409;0,339;1,338;0,916;0,753;-0,548;-0,729;-2,214;0,698;-2,739333333;0,364666667;-1,365;0,002;-0,524666667;0,266333333
21/11/2018;-0,884666667;0,137333333;7,898;0,136345473;-0,073;-0,078;-99,051;0,604;-0,175;0,095;-0,692;0,329;-0,541;0,437;1,567;-0,067;-1,64;0,104;-9,249;0,468225806;-5,038;-0,074468262;-0,381;-0,251;8,759;-1,024;0,332;0,572;0,532;-0,123;-0,533;-0,31;-1,991;0,446;-2,534666667;0,409333333;-1,358;0,014;-0,539333333;-0,029333333
22/11/2018;-0,816;0,137333333;9,254;1,463709677;-0,112;-0,078;-99,057;0,181;-0,11;0,258;-0,743;-0,275;-0,458;0,329;1,501;-0,172;-1,679;-0,275;-14,753;-5,075;-3,527;1,407483871;-0,314;0,05;9,139;-0,221;0,32;-0,019;0,339;-0,577;-0,404;0,144;-1,768;0,446;-2,33;0,409333333;-1,351;0,014;-0,554;-0,029333333
23/11/2018;-0,819;0,065666667;8,132;0,234;-0,202;-0,129;-99,083;-0,032;-0,231;-0,056;-0,841;-0,149;-0,339;0,202;1,648;0,081;-1,683;-0,043;-11,852;-2,603;-3,846;1,192;-0,21;0,171;9,388;0,629;0,064;-0,268;0,428;-0,104;-0,309;0,224;-1,621;0,37;-2,137;0,397666667;-1,364;-0,006;-0,657;-0,117666667
24/11/2018;-1,085;-0,269;7,836;-1,418;-0,321;-0,209;-99,808;-0,751;-0,386;-0,276;-0,964;-0,221;-0,33;0,128;1,636;0,135;-1,76;-0,081;-10,754;3,999;-3,449;0,078;-0,028;0,286;9,151;0,012;-0,337;-0,657;0,184;-0,155;-0,239;0,165;-1,83;-0,062;-2,23;0,1;-1,359;-0,008;-0,818;-0,264
