day;evento;tipo_evento;edam_ecne_eplu;edam_ecne_eplu_diff;edam_ecor_emcn;edam_ecor_emcn_diff;edam_emsg_eplu;edam_emsg_eplu_diff;edam_epdn_ecne;edam_epdn_ecne_diff;edam_epdn_emcn;edam_epdn_emcn_diff;eint_ecpn_emgl;eint_ecpn_emgl_diff;eint_esln_emgl;eint_esln_emgl_diff;eint_esln_espc;eint_esln_espc_diff;emeg_ecpn_emgl;emeg_ecpn_emgl_diff;emfn_ecor_ecri;emfn_ecor_ecri_diff;emfn_ecor_emcn;emfn_ecor_emcn_diff;emfn_emcn_epdn;emfn_emcn_epdn_diff;epdn_ecne_ecpn;epdn_ecne_ecpn_diff;epdn_eint_ecpn;epdn_eint_ecpn_diff;epdn_eint_espc;epdn_eint_espc_diff;epdn_emfn_espc;epdn_emfn_espc_diff;eplu_ecne_ecpn;eplu_ecne_ecpn_diff;eplu_emeg_ecpn;eplu_emeg_ecpn_diff;eplu_emeg_emal;eplu_emeg_emal_diff;eplu_emsg_emal;eplu_emsg_emal_diff
16/12/2018;0;;-4,641;-0,502;8,324;0,132;-0,181;-0,033;-99,37716667;0,32633333;1,402;0,057333333;-0,109;-0,163;0,474;-0,051;1,513;-0,447;0,021;-0,02;-9,42;-0,014;-4,414;-0,234;0,071;-0,247333333;11,11983333;0,10233333;0,021;0,355333333;-1,437;-0,380666667;-1,456;-0,203333333;-4,552;-0,505;-0,649;0,003;-0,144;0,086;-0,103;0,252
17/12/2018;0;;-4,892;-0,502;8,623;0,455;-0,3915;-0,2215;-99,214;0,32633333;2,153;0,779666667;0,037;0,065;0,605;0,184;1,775;-0,171;-0,494;-0,566;-9,62;-0,487;-5,1;-0,986;-0,221;-0,415666667;11,171;0,10233333;0,034;0,190666667;-0,846;0,400666667;-1,978;-0,623666667;-4,8045;-0,505;-0,9965;-0,2615;0,0895;0,2785;-0,1045;0,1895
18/12/2018;0;;-5,143;-0,502;8,603;0,279;-0,602;-0,421;-98,634;0,74316667;2,217;0,815;0,028;0,137;0,732;0,258;1,168;-0,345;-2,205;-2,226;-9,499;-0,079;-5,189;-0,775;-0,264;-0,335;11,485;0,36516667;-0,038;-0,059;-1,206;0,231;-2,225;-0,769;-5,057;-0,505;-1,344;-0,695;0,323;0,467;-0,106;-0,003
19/12/2018;0;;-4,64;0,252;8,558;-0,065;-0,447;-0,0555;-98,81;0,404;1,83;-0,323;-0,227;-0,264;0,766;0,161;1,224;-0,551;-2,104;-1,61;-9,197;0,423;-5,008;0,092;-0,257;-0,036;11,391;0,22;0,003;-0,031;-1,075;-0,229;-1,951;0,027;-4,678;0,1265;-1,275;-0,2785;0,39;0,3005;0,075;0,1795
20/12/2018;0;;-3,807;1,336;8,784;0,181;-0,38;0,222;-99,226;-0,592;0,543;-1,674;-0,395;-0,423;0,75;0,018;1,308;0,14;-1,954;0,251;-8,591;0,908;-4,333;0,856;-0,575;-0,311;11,155;-0,33;0,206;0,244;-0,826;0,38;-1,58;0,645;-3,841;1,216;-1,258;0,086;0,407;0,084;0,088;0,194
21/12/2018;0;;-3,098;1,542;8,678;0,12;-0,251;0,196;-99,168;-0,358;-0,16;-1,99;-0,547;-0,32;0,75;-0,016;1,56;0,336;-1,789;0,315;-8,462;0,735;-4,034;0,974;-0,615;-0,358;11,236;-0,155;0,247;0,244;-0,348;0,727;-1,412;0,539;-3,238;1,44;-1,264;0,011;0,403;0,013;0,091;0,016
22/12/2018;0;;-2,473;1,334;8,592;-0,192;-0,024;0,356;-99,206;0,02;-0,392;-0,935;-0,768;-0,373;0,783;0,033;1,881;0,573;-1,765;0,189;-8,214;0,377;-3,999;0,334;-0,637;-0,062;11,31;0,155;0,382;0,176;0,039;0,865;-1,199;0,381;-2,689;1,152;-1,275;-0,017;0,389;-0,018;0,098;0,01
23/12/2018;1;;-1,978;1,12;8,493;-0,185;0,048;0,299;-99,291;-0,123;-0,429;-0,269;-0,876;-0,329;0,896;0,146;2,31;0,75;-1,62;0,169;-8,02;0,442;-3,973;0,061;-0,506;0,109;11,409;0,173;0,306;0,059;0,401;0,749;-0,932;0,48;-2,204;1,034;-1,248;0,016;0,335;-0,068;0,064;-0,027
24/12/2018;2;DI;6,944;9,417;7,118;-1,474;-0,135;-0,111;-85,642;13,564;-8,258;-7,866;-1,782;-1,014;-2,084;-2,867;1,808;-0,073;-7,776;-6,011;-6,928;1,286;-4,151;-0,152;-7,022;-6,385;14,097;2,787;34,56;34,178;16,79;16,751;1,351;2,55;7,89;10,579;1,241;2,516;-0,847;-1,236;-1,516;-1,614
13/01/2019;0;;58,85646154;0,22169231;-6,3685;-0,9915;-2,686;-0,133;16,53569231;0,17153846;-62,85775;0,35583333;28,303;-0,725;-23,964;0,659;1,352;0,176;-42,462;0,916;7,199;0,936;-1,821;-0,655;-43,61875;0,3365;-4,361846154;0,113230769;298,4595;0,2996667;163,28175;0,0401667;38,96975;0,09483333;55,82076923;0,26415385;12,27;-0,334;-8,923;0,491;-11,729;0,325
